,0,1
220909_GFP-AHPC_D_MAP2ab_F7_Cy3_ND2_20x.tiff,57,72
220912_GFP-AHPC_B_RIP_F6_Cy3_ND2_20x.tiff,12,9
220912_GFP-AHPC_A_Nestin_F3_DAPI_ND1_20x.tiff,301,324
220909_GFP-AHPC_D_Ki67_F2_DAPI_ND1_20x.tiff,231,233
220912_GFP-AHPC_B_Nestin_F1_Cy3_ND2_20x.tiff,3,4
220909_GFP-AHPC_D_TuJ1_F5_Cy3_ND2_20x.tiff,13,9
220909_GFP-AHPC_D_MAP2ab_F7_DAPI_ND1_20x.tiff,177,246
220909_GFP-AHPC_D_Ki67_F9_Cy3_ND8_20x.tiff,1,13
220909_GFP-AHPC_D_Nestin_F9_DAPI_ND1_20x.tiff,168,189
220912_GFP-AHPC_A_Nestin_F8_DAPI_ND1_20x.tiff,139,141
220909_GFP-AHPC_D_MAP2ab_F9_Cy3_ND2_20x.tiff,50,83
220912_GFP-AHPC_B_RIP_F3_Cy3_ND2_20x.tiff,6,12
220912_GFP-AHPC_A_TuJ1_F8_Cy3_ND2_20x.tiff,18,29
220912_GFP-AHPC_B_RIP_F5_Cy3_ND2_20x.tiff,15,19
220909_GFP-AHPC_D_GFAP_F7_DAPI_ND1_20x.tiff,175,170
220909_GFP-AHPC_D_TuJ1_F6_DAPI_ND1_20x.tiff,258,339
220909_GFP-AHPC_C_Ki67_F7_DAPI_ND1_20x.tiff,170,225
220909_GFP-AHPC_D_Ki67_F10_DAPI_ND1_20x.tiff,180,310
220909_GFP-AHPC_C_GFAP_F4_Cy3_ND2_20x.tiff,0,37
220912_GFP-AHPC_C_TuJ1_F1.2_Cy3_ND1_20x.tiff,4,7
220909_GFP-AHPC_B_GFAP_F8_DAPI_ND1_20x.tiff,91,86
220912_GFP-AHPC_A_Nestin_F2_Cy3_ND2_20x.tiff,251,201
220909_GFP-AHPC_D_Nestin_F8_DAPI_ND1_20x.tiff,171,116
220909_GFP-AHPC_A_Ki67_F9_CY3_ND8_20x.tiff,5,9
220909_GFP-AHPC_D_Nestin_F4_DAPI_ND1_20x.tiff,182,175
220912_GFP-AHPC_B_TuJ1_F4_Cy3_ND2_20x.tiff,14,15
220909_GFP-AHPC_D_RIP_F3_Cy3_ND2_20x.tiff,94,72
220912_GFP-AHPC_C_TuJ1_F8_DAPI_ND1_20x.tiff,22,25
220912_GFP-AHPC_C_Map2AB_F5_DAPI_ND1_20x.tiff,11,7
220912_GFP-AHPC_A_Map2AB_F4_Cy3_ND2_20x.tiff,103,125
220912_GFP-AHPC_B_Map2AB_F2_DAPI_ND1_20x.tiff,107,135
220909_GFP-AHPC_D_MAP2ab_F2_DAPI_ND1_20x.tiff,345,278
220909_GFP-AHPC_D_TuJ1_F5_DAPI_ND1_20x.tiff,125,95
220909_GFP-AHPC_C_Ki67_F9_Cy3_ND8_20x.tiff,1,9
220912_GFP-AHPC_B_TuJ1_F8_Cy3_ND2_20x.tiff,3,10
220912_GFP-AHPC_B_Map2AB_F9_Cy3_ND2_20x.tiff,66,74
220909_GFP-AHPC_D_MAP2ab_F1_Cy3_ND2_20x.tiff,112,63
220909_GFP-AHPC_A_GFAP_F6_Cy3_ND2_20x.tiff,16,78
220909_GFP-AHPC_D_Nestin_F8_Cy3_ND2_20x.tiff,123,149
220909_GFP-AHPC_C_GFAP_F6_DAPI_ND1_20x.tiff,57,47
220909_GFP-AHPC_B_GFAP_F8_Cy3_ND2_20x.tiff,0,73
220909_GFP-AHPC_B_GFAP_F3_Cy3_ND2_20x.tiff,0,92
220909_GFP-AHPC_C_GFAP_F9_DAPI_ND1_20x.tiff,65,43
220909_GFP-AHPC_C_Nestin_F6_Cy3_ND2_20x.tiff,14,19
220909_GFP-AHPC_D_GFAP_F8_DAPI_ND1_20x.tiff,342,423
220909_GFP-AHPC_D_RIP_F4_Cy3_ND2_20x.tiff,58,58
220912_GFP-AHPC_A_TuJ1_F6_DAPI_ND1_20x.tiff,72,38
220912_GFP-AHPC_A_TuJ1_F7_DAPI_ND1_20x.tiff,55,37
220912_GFP-AHPC_A_Nestin_F6_DAPI_ND1_20x.tiff,313,394
220909_GFP-AHPC_B_Ki67_F5_DAPI_ND1_20x.tiff,26,14
220909_GFP-AHPC_B_Ki67_F5_Cy3_ND8_20x.tiff,2,16
220909_GFP-AHPC_B_Ki67_F3_Cy3_ND8_20x.tiff,0,6
220909_GFP-AHPC_D_GFAP_F2_Cy3_ND2_20x.tiff,1,106
