,0,1
IDCIA/images/220909_GFP-AHPC_D_MAP2ab_F7_Cy3_ND2_20x.tiff,57,48
IDCIA/images/220912_GFP-AHPC_B_RIP_F6_Cy3_ND2_20x.tiff,12,-11
IDCIA/images/220912_GFP-AHPC_A_Nestin_F3_DAPI_ND1_20x.tiff,301,279
IDCIA/images/220909_GFP-AHPC_D_Ki67_F2_DAPI_ND1_20x.tiff,231,271
IDCIA/images/220912_GFP-AHPC_B_Nestin_F1_Cy3_ND2_20x.tiff,3,2
IDCIA/images/220909_GFP-AHPC_D_TuJ1_F5_Cy3_ND2_20x.tiff,13,15
IDCIA/images/220909_GFP-AHPC_D_MAP2ab_F7_DAPI_ND1_20x.tiff,177,173
IDCIA/images/220909_GFP-AHPC_D_Ki67_F9_Cy3_ND8_20x.tiff,1,9
IDCIA/images/220909_GFP-AHPC_D_Nestin_F9_DAPI_ND1_20x.tiff,168,155
IDCIA/images/220912_GFP-AHPC_A_Nestin_F8_DAPI_ND1_20x.tiff,139,143
IDCIA/images/220909_GFP-AHPC_D_MAP2ab_F9_Cy3_ND2_20x.tiff,50,74
IDCIA/images/220912_GFP-AHPC_B_RIP_F3_Cy3_ND2_20x.tiff,6,11
IDCIA/images/220912_GFP-AHPC_A_TuJ1_F8_Cy3_ND2_20x.tiff,18,34
IDCIA/images/220912_GFP-AHPC_B_RIP_F5_Cy3_ND2_20x.tiff,15,36
IDCIA/images/220909_GFP-AHPC_D_GFAP_F7_DAPI_ND1_20x.tiff,175,192
IDCIA/images/220909_GFP-AHPC_D_TuJ1_F6_DAPI_ND1_20x.tiff,258,273
IDCIA/images/220909_GFP-AHPC_C_Ki67_F7_DAPI_ND1_20x.tiff,170,176
IDCIA/images/220909_GFP-AHPC_D_Ki67_F10_DAPI_ND1_20x.tiff,180,232
IDCIA/images/220909_GFP-AHPC_C_GFAP_F4_Cy3_ND2_20x.tiff,0,42
IDCIA/images/220912_GFP-AHPC_C_TuJ1_F1.2_Cy3_ND1_20x.tiff,4,5
IDCIA/images/220909_GFP-AHPC_B_GFAP_F8_DAPI_ND1_20x.tiff,91,101
IDCIA/images/220912_GFP-AHPC_A_Nestin_F2_Cy3_ND2_20x.tiff,251,288
IDCIA/images/220909_GFP-AHPC_D_Nestin_F8_DAPI_ND1_20x.tiff,171,176
IDCIA/images/220909_GFP-AHPC_A_Ki67_F9_CY3_ND8_20x.tiff,5,12
IDCIA/images/220909_GFP-AHPC_D_Nestin_F4_DAPI_ND1_20x.tiff,182,184
IDCIA/images/220912_GFP-AHPC_B_TuJ1_F4_Cy3_ND2_20x.tiff,14,25
IDCIA/images/220909_GFP-AHPC_D_RIP_F3_Cy3_ND2_20x.tiff,94,75
IDCIA/images/220912_GFP-AHPC_C_TuJ1_F8_DAPI_ND1_20x.tiff,22,25
IDCIA/images/220912_GFP-AHPC_C_Map2AB_F5_DAPI_ND1_20x.tiff,11,13
IDCIA/images/220912_GFP-AHPC_A_Map2AB_F4_Cy3_ND2_20x.tiff,103,223
IDCIA/images/220912_GFP-AHPC_B_Map2AB_F2_DAPI_ND1_20x.tiff,107,95
IDCIA/images/220909_GFP-AHPC_D_MAP2ab_F2_DAPI_ND1_20x.tiff,345,322
IDCIA/images/220909_GFP-AHPC_D_TuJ1_F5_DAPI_ND1_20x.tiff,125,114
IDCIA/images/220909_GFP-AHPC_C_Ki67_F9_Cy3_ND8_20x.tiff,1,10
IDCIA/images/220912_GFP-AHPC_B_TuJ1_F8_Cy3_ND2_20x.tiff,3,8
IDCIA/images/220912_GFP-AHPC_B_Map2AB_F9_Cy3_ND2_20x.tiff,66,77
IDCIA/images/220909_GFP-AHPC_D_MAP2ab_F1_Cy3_ND2_20x.tiff,112,69
IDCIA/images/220909_GFP-AHPC_A_GFAP_F6_Cy3_ND2_20x.tiff,16,68
IDCIA/images/220909_GFP-AHPC_D_Nestin_F8_Cy3_ND2_20x.tiff,123,146
IDCIA/images/220909_GFP-AHPC_C_GFAP_F6_DAPI_ND1_20x.tiff,57,67
IDCIA/images/220909_GFP-AHPC_B_GFAP_F8_Cy3_ND2_20x.tiff,0,64
IDCIA/images/220909_GFP-AHPC_B_GFAP_F3_Cy3_ND2_20x.tiff,0,92
IDCIA/images/220909_GFP-AHPC_C_GFAP_F9_DAPI_ND1_20x.tiff,65,74
IDCIA/images/220909_GFP-AHPC_C_Nestin_F6_Cy3_ND2_20x.tiff,14,15
IDCIA/images/220909_GFP-AHPC_D_GFAP_F8_DAPI_ND1_20x.tiff,342,384
IDCIA/images/220909_GFP-AHPC_D_RIP_F4_Cy3_ND2_20x.tiff,58,50
IDCIA/images/220912_GFP-AHPC_A_TuJ1_F6_DAPI_ND1_20x.tiff,72,72
IDCIA/images/220912_GFP-AHPC_A_TuJ1_F7_DAPI_ND1_20x.tiff,55,63
IDCIA/images/220912_GFP-AHPC_A_Nestin_F6_DAPI_ND1_20x.tiff,313,322
IDCIA/images/220909_GFP-AHPC_B_Ki67_F5_DAPI_ND1_20x.tiff,26,26
IDCIA/images/220909_GFP-AHPC_B_Ki67_F5_Cy3_ND8_20x.tiff,2,8
IDCIA/images/220909_GFP-AHPC_B_Ki67_F3_Cy3_ND8_20x.tiff,0,7
IDCIA/images/220909_GFP-AHPC_D_GFAP_F2_Cy3_ND2_20x.tiff,1,128
