 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,462.300,2.500
2,16,255,255,255,477.000,6.500
3,10,255,255,255,299.300,7.500
4,10,255,255,255,310.300,7.500
5,10,255,255,255,288.300,11.500
6,10,255,255,255,605.300,19.500
7,10,255,255,255,312.300,26.500
8,10,255,255,255,606.300,31.500
9,10,255,255,255,293.300,32.500
10,9,255,255,255,625.500,32.500
11,10,255,255,255,553.300,33.500
12,10,255,255,255,568.300,34.500
13,9,255,255,255,545.500,42.500
14,10,255,255,255,579.300,42.500
15,10,255,255,255,284.300,43.500
16,10,255,255,255,688.300,49.500
17,10,255,255,255,313.300,50.500
18,12,255,255,255,707.500,52.250
19,10,255,255,255,567.300,52.500
20,10,255,255,255,169.300,54.500
21,10,255,255,255,181.300,55.500
22,10,255,255,255,283.300,55.500
23,10,255,255,255,94.300,56.500
24,11,255,255,255,308.136,59.409
25,10,255,255,255,484.300,60.500
26,10,255,255,255,698.300,60.500
27,14,255,255,255,56.000,61.786
28,10,255,255,255,227.300,61.500
29,10,255,255,255,258.300,61.500
30,10,255,255,255,727.300,61.500
31,10,255,255,255,242.300,62.500
32,10,255,255,255,679.300,63.500
33,10,255,255,255,157.300,64.500
34,10,255,255,255,275.300,64.500
35,10,255,255,255,302.300,68.500
36,10,255,255,255,326.300,68.500
37,10,255,255,255,522.300,68.500
38,10,255,255,255,713.300,69.500
39,10,255,255,255,791.300,69.500
40,10,255,255,255,345.300,72.500
41,10,255,255,255,249.300,73.500
42,10,255,255,255,292.300,73.500
43,10,255,255,255,494.300,73.500
44,10,255,255,255,666.300,74.500
45,10,255,255,255,321.300,80.500
46,10,255,255,255,334.300,81.500
47,10,255,255,255,705.300,81.500
48,10,255,255,255,717.300,81.500
49,10,255,255,255,62.300,82.500
50,10,255,255,255,263.300,82.500
51,10,255,255,255,672.300,83.500
52,10,255,255,255,510.300,85.500
53,10,255,255,255,523.300,87.500
54,10,255,255,255,280.300,90.500
55,10,255,255,255,304.300,91.500
56,10,255,255,255,644.300,91.500
57,10,255,255,255,320.300,92.500
58,10,255,255,255,539.300,92.500
59,14,255,255,255,694.929,94.500
60,11,255,255,255,710.136,94.409
61,10,255,255,255,561.300,95.500
62,10,255,255,255,576.300,96.500
63,10,255,255,255,659.300,97.500
64,10,255,255,255,796.300,98.500
65,10,255,255,255,679.300,100.500
66,10,255,255,255,634.300,110.500
67,10,255,255,255,695.300,111.500
68,10,255,255,255,763.300,113.500
69,10,255,255,255,678.300,114.500
70,11,255,255,255,798.409,116.318
71,10,255,255,255,557.300,118.500
72,10,255,255,255,617.300,119.500
73,10,255,255,255,645.300,119.500
74,9,255,255,255,17.500,121.500
75,10,255,255,255,665.300,123.500
76,10,255,255,255,293.300,128.500
77,12,255,255,255,680.000,129.500
78,10,255,255,255,791.300,131.500
79,10,255,255,255,238.300,132.500
80,10,255,255,255,759.300,135.500
81,10,255,255,255,326.300,136.500
82,10,255,255,255,311.300,137.500
83,10,255,255,255,688.300,138.500
84,11,255,255,255,255.136,139.409
85,10,255,255,255,492.300,143.500
86,10,255,255,255,69.300,144.500
87,10,255,255,255,775.300,145.500
88,10,255,255,255,793.300,145.500
89,10,255,255,255,6.300,146.500
90,10,255,255,255,21.300,146.500
91,10,255,255,255,87.300,148.500
92,10,255,255,255,469.300,148.500
93,10,255,255,255,287.300,150.500
94,10,255,255,255,328.300,150.500
95,10,255,255,255,509.300,150.500
96,10,255,255,255,703.300,152.500
97,10,255,255,255,303.300,153.500
98,10,255,255,255,479.300,153.500
99,10,255,255,255,520.300,153.500
100,10,255,255,255,551.300,153.500
101,16,255,255,255,765.375,154.500
102,10,255,255,255,315.300,155.500
103,10,255,255,255,494.300,155.500
104,10,255,255,255,61.300,160.500
105,10,255,255,255,611.300,165.500
106,9,255,255,255,545.500,169.500
107,10,255,255,255,560.300,169.500
108,10,255,255,255,255.300,174.500
