 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,6.300,9.500
2,10,255,255,255,700.300,10.500
3,10,255,255,255,25.300,14.500
4,10,255,255,255,753.300,14.500
5,10,255,255,255,741.300,26.500
6,10,255,255,255,706.300,28.500
7,10,255,255,255,728.300,32.500
8,10,255,255,255,294.300,34.500
9,15,255,255,255,17.967,41.633
10,10,255,255,255,308.300,48.500
11,10,255,255,255,761.300,49.500
12,10,255,255,255,266.300,53.500
13,10,255,255,255,285.300,61.500
14,10,255,255,255,305.300,65.500
15,10,255,255,255,240.300,72.500
16,10,255,255,255,328.300,76.500
17,10,255,255,255,222.300,80.500
18,10,255,255,255,314.300,80.500
19,10,255,255,255,253.300,82.500
20,10,255,255,255,237.300,84.500
21,10,255,255,255,268.300,85.500
22,10,255,255,255,206.300,89.500
23,10,255,255,255,238.300,97.500
24,11,255,255,255,29.136,98.591
25,10,255,255,255,254.300,98.500
26,10,255,255,255,190.300,100.500
27,10,255,255,255,182.300,102.500
28,10,255,255,255,206.300,109.500
29,10,255,255,255,530.300,109.500
30,10,255,255,255,234.300,110.500
31,16,255,255,255,130.188,117.312
32,10,255,255,255,258.300,116.500
33,10,255,255,255,194.300,117.500
34,10,255,255,255,148.300,121.500
35,13,255,255,255,113.885,122.577
36,10,255,255,255,356.300,124.500
37,10,255,255,255,668.300,128.500
38,10,255,255,255,141.300,132.500
39,10,255,255,255,230.300,132.500
40,10,255,255,255,5.300,133.500
41,10,255,255,255,178.300,133.500
42,19,255,255,255,129.711,136.342
43,10,255,255,255,30.300,138.500
44,10,255,255,255,85.300,138.500
45,10,255,255,255,202.300,138.500
46,10,255,255,255,54.300,140.500
47,10,255,255,255,17.300,144.500
48,13,255,255,255,174.346,145.269
49,13,255,255,255,153.346,146.038
50,20,255,255,255,165.950,146.450
51,13,255,255,255,186.346,146.038
52,14,255,255,255,205.500,152.786
53,10,255,255,255,232.300,154.500
54,10,255,255,255,762.300,154.500
55,15,255,255,255,200.367,157.033
56,18,255,255,255,158.556,158.722
57,12,255,255,255,174.417,158.167
58,10,255,255,255,744.300,157.500
59,10,255,255,255,222.300,158.500
60,10,255,255,255,786.300,161.500
61,11,255,255,255,206.318,166.318
62,10,255,255,255,594.300,166.500
63,11,255,255,255,218.136,168.591
64,10,255,255,255,240.300,170.500
65,10,255,255,255,284.300,170.500
66,10,255,255,255,580.300,170.500
67,11,255,255,255,194.136,173.409
68,10,255,255,255,749.300,173.500
69,10,255,255,255,18.300,174.500
70,10,255,255,255,361.300,174.500
71,13,255,255,255,177.962,176.346
72,10,255,255,255,765.300,177.500
73,10,255,255,255,208.300,178.500
74,10,255,255,255,220.300,181.500
75,10,255,255,255,574.300,184.500
76,10,255,255,255,741.300,184.500
77,10,255,255,255,776.300,185.500
78,10,255,255,255,392.300,189.500
79,10,255,255,255,350.300,192.500
80,10,255,255,255,589.300,192.500
81,10,255,255,255,564.300,196.500
82,10,255,255,255,612.300,196.500
83,10,255,255,255,580.300,198.500
84,10,255,255,255,41.300,206.500
85,10,255,255,255,296.300,206.500
86,10,255,255,255,338.300,208.500
87,10,255,255,255,550.300,208.500
88,10,255,255,255,410.300,210.500
89,10,255,255,255,538.300,212.500
90,10,255,255,255,578.300,212.500
91,10,255,255,255,522.300,213.500
92,10,255,255,255,768.300,220.500
93,11,255,255,255,285.500,221.500
94,10,255,255,255,321.300,221.500
95,10,255,255,255,256.300,222.500
96,10,255,255,255,305.300,222.500
97,10,255,255,255,332.300,222.500
98,10,255,255,255,573.300,225.500
99,10,255,255,255,192.300,226.500
100,10,255,255,255,232.300,226.500
101,10,255,255,255,546.300,228.500
102,10,255,255,255,313.300,229.500
103,10,255,255,255,349.300,229.500
104,10,255,255,255,532.300,229.500
105,10,255,255,255,424.300,230.500
106,10,255,255,255,508.300,230.500
107,10,255,255,255,328.300,233.500
108,10,255,255,255,298.300,236.500
109,10,255,255,255,441.300,236.500
110,10,255,255,255,765.300,237.500
111,10,255,255,255,314.300,238.500
112,10,255,255,255,525.300,240.500
113,10,255,255,255,788.300,240.500
114,10,255,255,255,204.300,241.500
115,10,255,255,255,409.300,241.500
116,10,255,255,255,337.300,242.500
117,10,255,255,255,429.300,242.500
118,10,255,255,255,460.300,242.500
119,10,255,255,255,544.300,246.500
