 ,Area,Mean,Min,Max,X,Y
1,9,255,255,255,543.167,16.611
2,9,255,255,255,257.500,35.500
3,9,255,255,255,561.500,38.500
4,14,255,255,255,533.071,47.714
5,9,255,255,255,529.500,56.500
6,10,255,255,255,215.300,59.500
7,10,255,255,255,562.300,59.500
8,10,255,255,255,501.300,123.500
9,10,255,255,255,509.300,129.500
10,13,255,255,255,589.808,132.500
11,12,255,255,255,400.417,193.833
12,10,255,255,255,576.300,196.500
13,10,255,255,255,415.300,206.500
14,12,255,255,255,334.417,290.167
15,10,255,255,255,94.300,290.500
16,10,255,255,255,292.300,292.500
17,14,255,255,255,349.643,293.429
18,10,255,255,255,139.300,300.500
19,10,255,255,255,300.300,300.500
20,10,255,255,255,128.300,304.500
21,10,255,255,255,579.300,332.500
22,10,255,255,255,606.300,338.500
23,10,255,255,255,776.300,348.500
24,10,255,255,255,534.300,351.500
25,10,255,255,255,617.300,354.500
26,10,255,255,255,270.300,362.500
27,10,255,255,255,138.300,363.500
28,10,255,255,255,124.300,369.500
29,10,255,255,255,153.300,378.500
30,10,255,255,255,610.300,387.500
31,10,255,255,255,296.300,442.500
32,10,255,255,255,217.300,451.500
33,10,255,255,255,201.300,455.500
34,10,255,255,255,227.300,457.500
35,10,255,255,255,198.300,461.500
36,11,255,255,255,250.500,462.500
37,10,255,255,255,115.300,464.500
38,10,255,255,255,568.300,466.500
39,10,255,255,255,668.300,473.500
40,9,255,255,255,577.500,490.500
41,10,255,255,255,446.300,503.500
42,9,255,255,255,113.500,505.500
43,10,255,255,255,142.300,507.500
44,10,255,255,255,571.300,509.500
45,10,255,255,255,246.300,510.500
46,10,255,255,255,264.300,512.500
47,9,255,255,255,369.500,520.500
48,13,255,255,255,403.346,524.038
49,10,255,255,255,445.300,525.500
50,11,255,255,255,330.136,528.591
51,12,255,255,255,390.000,528.500
52,10,255,255,255,379.300,532.500
53,10,255,255,255,427.300,534.500
54,15,255,255,255,436.033,538.367
55,10,255,255,255,149.300,540.500
56,10,255,255,255,115.300,543.500
57,13,255,255,255,447.038,550.346
58,10,255,255,255,540.300,552.500
59,10,255,255,255,420.300,555.500
60,10,255,255,255,512.300,566.500
61,10,255,255,255,661.300,566.500
62,11,255,255,255,527.136,574.591
