 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,539.300,15.500
2,10,255,255,255,466.300,20.500
3,10,255,255,255,345.300,22.500
4,10,255,255,255,496.300,32.500
5,10,255,255,255,320.300,38.500
6,10,255,255,255,243.300,76.500
7,10,255,255,255,554.300,79.500
8,10,255,255,255,408.300,82.500
9,10,255,255,255,317.300,83.500
10,10,255,255,255,396.300,85.500
11,10,255,255,255,310.300,91.500
12,10,255,255,255,336.300,91.500
13,10,255,255,255,438.300,103.500
14,10,255,255,255,315.300,104.500
15,10,255,255,255,665.300,112.500
16,10,255,255,255,673.300,113.500
17,10,255,255,255,569.300,138.500
18,10,255,255,255,678.300,155.500
19,10,255,255,255,491.300,161.500
20,10,255,255,255,596.300,168.500
21,10,255,255,255,289.300,181.500
22,10,255,255,255,500.300,209.500
23,10,255,255,255,282.300,224.500
24,10,255,255,255,216.300,225.500
25,10,255,255,255,393.300,230.500
26,10,255,255,255,20.300,234.500
27,10,255,255,255,262.300,236.500
28,10,255,255,255,402.300,240.500
29,10,255,255,255,292.300,247.500
30,10,255,255,255,302.300,255.500
31,10,255,255,255,316.300,255.500
32,10,255,255,255,297.300,266.500
33,10,255,255,255,45.300,272.500
34,10,255,255,255,305.300,272.500
35,10,255,255,255,329.300,275.500
36,10,255,255,255,319.300,282.500
37,10,255,255,255,288.300,284.500
38,10,255,255,255,299.300,287.500
39,10,255,255,255,305.300,298.500
40,10,255,255,255,501.300,298.500
41,10,255,255,255,385.300,333.500
42,10,255,255,255,464.300,578.500
