 ,Area,Mean,Min,Max,X,Y
1,7,255,255,255,496.214,0.929
2,10,255,255,255,511.300,3.500
3,10,255,255,255,273.300,7.500
4,9,255,255,255,257.500,9.500
5,10,255,255,255,521.300,16.500
6,10,255,255,255,177.300,20.500
7,10,255,255,255,262.300,21.500
8,16,255,255,255,531.500,24.125
9,10,255,255,255,121.300,24.500
10,10,255,255,255,140.300,27.500
11,10,255,255,255,356.300,28.500
12,10,255,255,255,379.300,28.500
13,10,255,255,255,174.300,30.500
14,10,255,255,255,231.300,68.500
15,10,255,255,255,116.300,77.500
16,10,255,255,255,99.300,78.500
17,10,255,255,255,114.300,87.500
18,10,255,255,255,156.300,93.500
19,10,255,255,255,558.300,99.500
20,10,255,255,255,579.300,100.500
21,10,255,255,255,406.300,105.500
22,10,255,255,255,472.300,121.500
23,10,255,255,255,660.300,125.500
24,10,255,255,255,192.300,128.500
25,10,255,255,255,505.300,133.500
26,10,255,255,255,123.300,142.500
27,10,255,255,255,141.300,142.500
28,10,255,255,255,586.300,145.500
29,10,255,255,255,597.300,145.500
30,10,255,255,255,528.300,147.500
31,10,255,255,255,684.300,147.500
32,10,255,255,255,80.300,151.500
33,10,255,255,255,538.300,157.500
34,10,255,255,255,548.300,174.500
35,10,255,255,255,389.300,176.500
36,10,255,255,255,426.300,184.500
37,10,255,255,255,570.300,185.500
38,10,255,255,255,666.300,189.500
39,10,255,255,255,397.300,200.500
40,10,255,255,255,794.300,200.500
41,10,255,255,255,479.300,201.500
42,10,255,255,255,554.300,204.500
43,10,255,255,255,546.300,205.500
44,10,255,255,255,719.300,212.500
45,10,255,255,255,602.300,215.500
46,10,255,255,255,400.300,220.500
47,10,255,255,255,565.300,223.500
48,10,255,255,255,383.300,224.500
49,10,255,255,255,227.300,227.500
50,11,255,255,255,724.136,230.409
51,10,255,255,255,633.300,231.500
52,10,255,255,255,539.300,233.500
53,10,255,255,255,368.300,237.500
54,12,255,255,255,607.000,241.500
55,10,255,255,255,243.300,243.500
56,10,255,255,255,605.300,258.500
57,10,255,255,255,196.300,266.500
58,10,255,255,255,689.300,273.500
59,10,255,255,255,629.300,301.500
60,10,255,255,255,644.300,302.500
61,10,255,255,255,623.300,315.500
62,10,255,255,255,265.300,326.500
63,10,255,255,255,614.300,330.500
64,10,255,255,255,631.300,336.500
65,10,255,255,255,200.300,363.500
66,10,255,255,255,388.300,381.500
67,10,255,255,255,326.300,387.500
68,9,255,255,255,448.389,400.611
69,10,255,255,255,752.300,400.500
70,10,255,255,255,376.300,402.500
71,10,255,255,255,341.300,403.500
72,10,255,255,255,771.300,406.500
73,10,255,255,255,299.300,414.500
74,10,255,255,255,378.300,419.500
75,10,255,255,255,395.300,419.500
76,10,255,255,255,543.300,429.500
77,10,255,255,255,245.300,431.500
78,10,255,255,255,466.300,437.500
79,10,255,255,255,262.300,439.500
80,10,255,255,255,280.300,452.500
81,10,255,255,255,643.300,461.500
82,10,255,255,255,283.300,483.500
83,10,255,255,255,143.300,487.500
84,10,255,255,255,157.300,489.500
85,17,255,255,255,339.676,495.559
86,10,255,255,255,496.300,495.500
87,10,255,255,255,724.300,496.500
88,10,255,255,255,440.300,499.500
89,10,255,255,255,138.300,503.500
90,10,255,255,255,353.300,503.500
91,10,255,255,255,297.300,505.500
92,10,255,255,255,503.300,506.500
93,9,255,255,255,177.500,508.500
94,9,255,255,255,321.500,508.500
95,10,255,255,255,427.300,509.500
96,10,255,255,255,452.300,513.500
97,10,255,255,255,191.300,520.500
98,10,255,255,255,452.300,524.500
99,10,255,255,255,580.300,525.500
100,10,255,255,255,461.300,532.500
101,15,255,255,255,450.100,538.100
102,10,255,255,255,272.300,547.500
103,10,255,255,255,542.300,554.500
104,10,255,255,255,348.300,559.500
105,10,255,255,255,389.300,564.500
106,10,255,255,255,306.300,567.500
107,10,255,255,255,334.300,567.500
108,10,255,255,255,492.300,569.500
109,10,255,255,255,350.300,573.500
110,10,255,255,255,566.300,573.500
111,14,255,255,255,455.500,576.500
112,10,255,255,255,475.300,578.500
113,10,255,255,255,341.300,581.500
114,10,255,255,255,720.300,581.500
115,10,255,255,255,372.300,583.500
116,10,255,255,255,435.300,589.500
117,10,255,255,255,454.300,589.500
118,10,255,255,255,651.300,591.500
