 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,468.300,8.500
2,10,255,255,255,55.300,12.500
3,10,255,255,255,725.300,16.500
4,10,255,255,255,124.300,19.500
5,10,255,255,255,286.300,21.500
6,10,255,255,255,157.300,26.500
7,10,255,255,255,587.300,30.500
8,10,255,255,255,604.300,31.500
9,10,255,255,255,439.300,40.500
10,10,255,255,255,83.300,42.500
11,10,255,255,255,126.300,44.500
12,10,255,255,255,591.300,46.500
13,10,255,255,255,608.300,46.500
14,10,255,255,255,441.300,47.500
15,10,255,255,255,431.300,51.500
16,10,255,255,255,543.300,51.500
17,10,255,255,255,570.300,54.500
18,10,255,255,255,295.300,58.500
19,10,255,255,255,211.300,63.500
20,10,255,255,255,390.300,68.500
21,10,255,255,255,519.300,72.500
22,10,255,255,255,497.300,73.500
23,10,255,255,255,448.300,74.500
24,10,255,255,255,345.300,76.500
25,10,255,255,255,10.300,77.500
26,10,255,255,255,49.300,82.500
27,10,255,255,255,680.300,83.500
28,10,255,255,255,464.300,85.500
29,10,255,255,255,533.300,92.500
30,10,255,255,255,745.300,93.500
31,10,255,255,255,386.300,95.500
32,10,255,255,255,229.300,96.500
33,10,255,255,255,358.300,97.500
34,10,255,255,255,80.300,100.500
35,10,255,255,255,415.300,107.500
36,10,255,255,255,450.300,109.500
37,10,255,255,255,294.300,111.500
38,10,255,255,255,302.300,111.500
39,10,255,255,255,364.300,115.500
40,10,255,255,255,274.300,124.500
41,10,255,255,255,503.300,125.500
42,10,255,255,255,606.300,133.500
43,10,255,255,255,704.300,133.500
44,10,255,255,255,451.300,136.500
45,10,255,255,255,432.300,138.500
46,10,255,255,255,371.300,142.500
47,10,255,255,255,258.300,145.500
48,10,255,255,255,325.300,145.500
49,10,255,255,255,68.300,146.500
50,10,255,255,255,208.300,149.500
51,10,255,255,255,587.300,150.500
52,10,255,255,255,344.300,162.500
53,10,255,255,255,68.300,165.500
54,10,255,255,255,686.300,169.500
55,10,255,255,255,664.300,172.500
56,10,255,255,255,92.300,178.500
57,10,255,255,255,118.300,182.500
58,10,255,255,255,103.300,186.500
59,10,255,255,255,527.300,187.500
60,10,255,255,255,598.300,190.500
61,10,255,255,255,66.300,199.500
62,10,255,255,255,213.300,211.500
63,10,255,255,255,697.300,211.500
64,10,255,255,255,431.300,217.500
65,10,255,255,255,230.300,221.500
66,10,255,255,255,694.300,232.500
67,10,255,255,255,84.300,236.500
68,10,255,255,255,350.300,244.500
69,10,255,255,255,67.300,247.500
70,10,255,255,255,405.300,249.500
71,10,255,255,255,264.300,251.500
72,10,255,255,255,698.300,252.500
73,10,255,255,255,72.300,254.500
74,10,255,255,255,671.300,255.500
75,10,255,255,255,534.300,256.500
76,10,255,255,255,574.300,257.500
77,10,255,255,255,593.300,257.500
78,10,255,255,255,716.300,260.500
79,10,255,255,255,318.300,262.500
80,10,255,255,255,579.300,264.500
81,10,255,255,255,595.300,266.500
82,10,255,255,255,385.300,267.500
83,10,255,255,255,640.300,267.500
84,10,255,255,255,685.300,269.500
