 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,414.300,142.500
2,10,255,255,255,402.300,144.500
3,10,255,255,255,173.300,172.500
4,10,255,255,255,334.300,181.500
5,10,255,255,255,381.300,189.500
6,10,255,255,255,306.300,193.500
7,10,255,255,255,252.300,228.500
8,10,255,255,255,246.300,241.500
9,10,255,255,255,312.300,272.500
10,10,255,255,255,17.300,353.500
11,10,255,255,255,406.300,396.500
12,10,255,255,255,578.300,398.500
13,10,255,255,255,597.300,402.500
14,10,255,255,255,357.300,497.500
15,10,255,255,255,36.300,530.500
