 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,307.300,1.500
2,10,255,255,255,260.300,5.500
3,10,255,255,255,499.300,18.500
4,13,255,255,255,261.654,21.577
5,10,255,255,255,400.300,48.500
6,10,255,255,255,341.300,50.500
7,13,255,255,255,2.885,56.500
8,10,255,255,255,173.300,57.500
9,10,255,255,255,276.300,58.500
10,13,255,255,255,314.038,61.654
11,10,255,255,255,209.300,66.500
12,10,255,255,255,244.300,66.500
13,10,255,255,255,152.300,67.500
14,10,255,255,255,86.300,71.500
15,10,255,255,255,289.700,71.400
16,9,255,255,255,193.500,72.500
17,10,255,255,255,240.300,77.500
18,10,255,255,255,92.300,81.500
19,10,255,255,255,515.300,83.500
20,11,255,255,255,104.136,86.591
21,10,255,255,255,276.300,86.500
22,10,255,255,255,244.300,87.500
23,10,255,255,255,309.300,89.500
24,10,255,255,255,599.300,90.500
25,10,255,255,255,574.300,98.500
26,10,255,255,255,520.300,99.500
27,9,255,255,255,465.500,111.500
28,10,255,255,255,61.300,115.500
29,10,255,255,255,624.300,117.500
30,10,255,255,255,644.300,119.500
31,10,255,255,255,463.300,121.500
32,9,255,255,255,529.500,121.500
33,10,255,255,255,7.300,123.500
34,10,255,255,255,483.300,126.500
35,10,255,255,255,75.300,130.500
36,10,255,255,255,105.300,131.500
37,10,255,255,255,15.300,136.500
38,10,255,255,255,475.300,141.500
39,14,255,255,255,778.000,143.786
40,10,255,255,255,795.300,150.500
41,10,255,255,255,99.300,154.500
42,10,255,255,255,786.300,155.500
43,10,255,255,255,628.300,188.500
44,9,255,255,255,721.500,206.500
45,10,255,255,255,595.300,215.500
46,10,255,255,255,664.300,215.500
47,10,255,255,255,683.300,219.500
48,10,255,255,255,249.300,239.500
49,9,255,255,255,305.500,260.500
50,10,255,255,255,243.300,268.500
51,10,255,255,255,521.300,275.500
52,10,255,255,255,793.300,280.500
53,10,255,255,255,226.300,281.500
54,10,255,255,255,148.300,283.500
55,10,255,255,255,245.300,283.500
56,10,255,255,255,3.300,290.500
57,10,255,255,255,562.300,291.500
58,10,255,255,255,630.300,293.500
59,10,255,255,255,610.300,295.500
60,10,255,255,255,158.300,298.500
61,10,255,255,255,226.300,298.500
62,10,255,255,255,191.300,299.500
63,10,255,255,255,687.300,299.500
64,10,255,255,255,247.300,303.500
65,9,255,255,255,545.500,303.500
66,10,255,255,255,669.300,304.500
67,10,255,255,255,530.300,305.500
68,10,255,255,255,279.300,311.500
69,11,255,255,255,212.136,313.409
70,10,255,255,255,687.300,314.500
71,9,255,255,255,161.500,317.500
72,10,255,255,255,246.300,324.500
73,10,255,255,255,268.300,325.500
