 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,412.300,110.500
2,10,255,255,255,640.300,110.500
3,10,255,255,255,292.300,113.500
4,10,255,255,255,16.300,114.500
5,10,255,255,255,314.300,118.500
6,10,255,255,255,341.300,118.500
7,10,255,255,255,456.300,118.500
8,10,255,255,255,268.300,128.500
9,10,255,255,255,221.300,132.500
10,10,255,255,255,338.300,136.500
11,10,255,255,255,497.300,136.500
12,10,255,255,255,614.300,137.500
13,10,255,255,255,657.300,138.500
14,10,255,255,255,449.300,141.500
15,10,255,255,255,305.300,142.500
16,10,255,255,255,685.300,142.500
17,12,255,255,255,752.083,144.750
18,10,255,255,255,648.300,145.500
19,10,255,255,255,505.300,148.500
20,20,255,255,255,718.050,153.550
21,10,255,255,255,534.300,154.500
22,10,255,255,255,562.300,154.500
23,10,255,255,255,69.300,157.500
24,10,255,255,255,218.300,160.500
25,10,255,255,255,264.300,162.500
26,10,255,255,255,604.300,164.500
27,11,255,255,255,200.227,168.318
28,12,255,255,255,697.500,169.250
29,10,255,255,255,332.300,169.500
30,12,255,255,255,718.333,170.500
31,10,255,255,255,614.300,172.500
32,10,255,255,255,596.300,174.500
33,10,255,255,255,472.300,176.500
34,10,255,255,255,673.300,177.500
35,10,255,255,255,14.300,178.500
36,10,255,255,255,622.300,181.500
37,10,255,255,255,609.300,182.500
38,13,255,255,255,580.038,190.346
39,10,255,255,255,734.300,193.500
40,10,255,255,255,629.300,198.500
41,10,255,255,255,304.300,205.500
42,11,255,255,255,722.409,213.318
43,13,255,255,255,126.577,214.885
44,17,255,255,255,770.147,217.500
45,10,255,255,255,596.300,217.500
46,13,255,255,255,190.269,221.115
47,10,255,255,255,276.300,220.500
48,10,255,255,255,241.300,222.500
49,10,255,255,255,729.300,222.500
50,10,255,255,255,406.300,228.500
51,10,255,255,255,716.300,230.500
52,10,255,255,255,62.300,233.500
53,11,255,255,255,417.227,237.682
54,11,255,255,255,733.500,238.500
55,10,255,255,255,250.300,240.500
56,10,255,255,255,364.300,244.500
57,14,255,255,255,728.500,248.071
58,10,255,255,255,436.300,248.500
59,10,255,255,255,477.300,253.500
60,10,255,255,255,724.300,256.500
61,16,255,255,255,126.062,260.250
62,10,255,255,255,609.300,260.500
63,10,255,255,255,592.300,261.500
64,10,255,255,255,732.300,262.500
65,10,255,255,255,112.300,269.500
66,18,255,255,255,167.833,270.222
67,10,255,255,255,554.300,270.500
68,10,255,255,255,349.300,278.500
69,10,255,255,255,586.300,280.500
70,10,255,255,255,746.300,280.500
71,16,255,255,255,85.750,281.875
72,10,255,255,255,685.300,281.500
73,10,255,255,255,157.300,289.500
74,10,255,255,255,473.300,290.500
75,10,255,255,255,388.300,293.500
76,11,255,255,255,362.318,294.682
77,10,255,255,255,514.300,294.500
78,10,255,255,255,562.300,294.500
79,10,255,255,255,758.300,297.500
80,10,255,255,255,434.300,298.500
81,10,255,255,255,369.300,304.500
82,10,255,255,255,632.300,306.500
83,10,255,255,255,17.300,308.500
84,10,255,255,255,168.300,309.500
85,10,255,255,255,544.300,312.500
86,10,255,255,255,561.300,313.500
87,11,255,255,255,380.136,314.591
88,10,255,255,255,56.300,317.500
89,10,255,255,255,765.300,317.500
90,10,255,255,255,109.300,318.500
91,10,255,255,255,233.300,320.500
92,10,255,255,255,136.300,325.500
93,10,255,255,255,384.300,326.500
94,10,255,255,255,37.300,328.500
95,10,255,255,255,504.300,330.500
96,10,255,255,255,570.300,333.500
97,15,255,255,255,742.100,334.100
98,10,255,255,255,790.300,333.500
99,10,255,255,255,549.300,334.500
100,10,255,255,255,58.300,336.500
101,10,255,255,255,166.300,336.500
102,10,255,255,255,768.300,336.500
103,10,255,255,255,398.300,337.500
104,10,255,255,255,756.300,340.500
105,10,255,255,255,266.300,341.500
106,10,255,255,255,10.300,357.500
107,10,255,255,255,90.300,361.500
108,10,255,255,255,441.300,362.500
109,10,255,255,255,660.300,364.500
110,10,255,255,255,404.300,368.500
111,13,255,255,255,46.269,376.885
112,11,255,255,255,756.136,381.409
113,10,255,255,255,536.300,384.500
114,10,255,255,255,206.300,386.500
115,10,255,255,255,746.300,390.500
116,12,255,255,255,126.167,392.250
117,10,255,255,255,213.300,396.500
118,10,255,255,255,650.300,396.500
119,10,255,255,255,709.300,401.500
120,10,255,255,255,772.300,401.500
121,10,255,255,255,452.300,402.500
122,10,255,255,255,477.300,405.500
123,14,255,255,255,218.214,407.000
124,10,255,255,255,422.300,408.500
125,17,255,255,255,788.206,417.618
126,10,255,255,255,224.300,417.500
127,10,255,255,255,313.300,417.500
128,10,255,255,255,264.300,418.500
129,10,255,255,255,681.300,420.500
130,10,255,255,255,36.300,421.500
131,10,255,255,255,322.300,425.500
132,10,255,255,255,690.300,428.500
133,11,255,255,255,236.136,429.591
134,10,255,255,255,569.300,430.500
135,10,255,255,255,490.300,433.500
136,10,255,255,255,182.300,434.500
137,10,255,255,255,245.300,436.500
138,10,255,255,255,196.300,437.500
139,10,255,255,255,221.300,438.500
140,15,255,255,255,401.367,441.900
141,17,255,255,255,384.088,446.500
142,10,255,255,255,549.300,445.500
143,10,255,255,255,697.300,446.500
144,14,255,255,255,425.000,461.786
145,10,255,255,255,78.300,465.500
146,10,255,255,255,593.300,465.500
147,10,255,255,255,66.300,468.500
148,10,255,255,255,224.300,468.500
149,10,255,255,255,612.300,468.500
150,12,255,255,255,572.000,469.500
151,10,255,255,255,48.300,472.500
152,10,255,255,255,634.300,472.500
153,14,255,255,255,245.643,473.429
154,14,255,255,255,401.643,477.429
155,10,255,255,255,82.300,478.500
156,10,255,255,255,589.300,481.500
157,14,255,255,255,182.643,484.214
