 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,594.300,42.500
2,10,255,255,255,690.300,89.500
3,10,255,255,255,310.300,93.500
4,10,255,255,255,323.300,95.500
5,10,255,255,255,169.300,104.500
6,10,255,255,255,411.300,107.500
7,10,255,255,255,158.300,108.500
8,10,255,255,255,116.300,114.500
9,10,255,255,255,317.300,117.500
10,10,255,255,255,770.300,121.500
11,10,255,255,255,136.300,125.500
12,10,255,255,255,128.300,127.500
13,10,255,255,255,758.300,129.500
14,9,255,255,255,561.500,143.500
15,10,255,255,255,354.300,146.500
16,10,255,255,255,256.300,149.500
17,10,255,255,255,399.300,153.500
18,10,255,255,255,51.300,162.500
19,10,255,255,255,763.300,165.500
20,10,255,255,255,571.300,168.500
21,10,255,255,255,686.300,168.500
22,10,255,255,255,710.300,174.500
23,10,255,255,255,162.300,179.500
24,10,255,255,255,142.300,182.500
25,10,255,255,255,295.300,187.500
26,10,255,255,255,66.300,190.500
27,10,255,255,255,521.300,192.500
28,10,255,255,255,107.300,193.500
29,10,255,255,255,131.300,193.500
30,10,255,255,255,445.300,196.500
31,10,255,255,255,485.300,202.500
32,10,255,255,255,52.300,204.500
33,9,255,255,255,384.500,205.500
34,10,255,255,255,412.300,205.500
35,10,255,255,255,111.300,206.500
36,10,255,255,255,351.300,206.500
37,10,255,255,255,437.300,206.500
38,10,255,255,255,207.300,213.500
39,10,255,255,255,362.300,213.500
40,10,255,255,255,514.300,213.500
41,10,255,255,255,529.300,213.500
42,10,255,255,255,566.300,213.500
43,10,255,255,255,226.300,215.500
44,10,255,255,255,400.300,215.500
45,10,255,255,255,262.300,222.500
46,10,255,255,255,500.300,223.500
47,10,255,255,255,576.300,224.500
48,10,255,255,255,385.300,225.500
49,10,255,255,255,412.300,225.500
50,10,255,255,255,203.300,229.500
51,10,255,255,255,567.300,231.500
52,10,255,255,255,370.300,232.500
53,10,255,255,255,498.300,240.500
54,10,255,255,255,589.300,240.500
55,10,255,255,255,386.300,245.500
56,10,255,255,255,403.300,253.500
57,10,255,255,255,369.300,257.500
58,10,255,255,255,516.300,257.500
59,10,255,255,255,68.300,262.500
60,10,255,255,255,495.300,264.500
61,10,255,255,255,652.300,264.500
62,10,255,255,255,777.300,266.500
63,10,255,255,255,480.300,267.500
64,10,255,255,255,184.300,268.500
65,10,255,255,255,297.300,269.500
66,11,255,255,255,770.136,271.409
67,10,255,255,255,98.300,273.500
68,10,255,255,255,376.300,273.500
69,10,255,255,255,110.300,274.500
70,10,255,255,255,138.300,274.500
71,11,255,255,255,124.318,279.682
72,10,255,255,255,503.300,279.500
73,10,255,255,255,97.300,282.500
74,10,255,255,255,311.300,282.500
75,10,255,255,255,328.300,282.500
76,10,255,255,255,239.300,283.500
77,10,255,255,255,452.300,287.500
78,10,255,255,255,370.300,288.500
79,9,255,255,255,639.167,288.611
80,10,255,255,255,101.300,289.500
81,10,255,255,255,475.300,289.500
82,10,255,255,255,345.300,292.500
83,9,255,255,255,16.500,294.500
84,10,255,255,255,270.300,294.500
85,10,255,255,255,621.300,295.500
86,10,255,255,255,678.300,296.500
87,10,255,255,255,143.300,297.500
88,10,255,255,255,414.300,298.500
89,10,255,255,255,120.300,301.500
90,10,255,255,255,462.300,301.500
91,10,255,255,255,639.300,301.500
92,9,255,255,255,88.167,303.389
93,10,255,255,255,158.300,303.500
94,9,255,255,255,479.167,307.389
95,10,255,255,255,222.300,308.500
96,10,255,255,255,645.300,312.500
97,10,255,255,255,508.300,314.500
98,10,255,255,255,213.300,315.500
99,10,255,255,255,563.300,315.500
100,21,255,255,255,146.786,318.024
101,10,255,255,255,742.300,318.500
102,10,255,255,255,117.300,323.500
103,10,255,255,255,618.300,326.500
104,10,255,255,255,46.300,328.500
105,10,255,255,255,166.300,330.500
106,10,255,255,255,606.300,331.500
107,10,255,255,255,262.300,336.500
108,10,255,255,255,61.300,341.500
109,10,255,255,255,113.300,342.500
110,10,255,255,255,180.300,345.500
111,10,255,255,255,375.300,345.500
112,10,255,255,255,672.300,345.500
113,10,255,255,255,153.300,350.500
114,10,255,255,255,130.300,351.500
115,10,255,255,255,383.300,353.500
116,10,255,255,255,83.300,354.500
117,10,255,255,255,118.300,357.500
118,10,255,255,255,541.300,357.500
119,10,255,255,255,305.300,358.500
120,10,255,255,255,97.300,359.500
