 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,356.300,12.500
2,10,255,255,255,753.300,17.500
3,10,255,255,255,785.300,22.500
4,10,255,255,255,256.300,28.500
5,10,255,255,255,592.300,29.500
6,10,255,255,255,236.300,36.500
7,10,255,255,255,321.300,38.500
8,10,255,255,255,786.300,40.500
9,12,255,255,255,588.000,42.500
10,10,255,255,255,305.300,46.500
11,10,255,255,255,256.300,49.500
12,10,255,255,255,401.300,56.500
13,10,255,255,255,214.300,57.500
14,10,255,255,255,540.300,66.500
15,10,255,255,255,313.300,70.500
16,10,255,255,255,192.300,74.500
17,10,255,255,255,590.300,78.500
18,10,255,255,255,157.300,80.500
19,10,255,255,255,176.300,81.500
20,10,255,255,255,202.300,96.500
21,10,255,255,255,298.300,98.500
22,10,255,255,255,314.300,100.500
23,10,255,255,255,785.300,102.500
24,10,255,255,255,237.300,104.500
25,10,255,255,255,218.300,113.500
26,10,255,255,255,170.300,116.500
27,10,255,255,255,613.300,116.500
28,10,255,255,255,297.300,117.500
29,10,255,255,255,594.300,117.500
30,10,255,255,255,206.300,120.500
31,10,255,255,255,265.300,120.500
32,10,255,255,255,277.300,126.500
33,10,255,255,255,185.300,128.500
34,10,255,255,255,262.300,130.500
35,10,255,255,255,508.300,132.500
36,10,255,255,255,276.300,137.500
37,10,255,255,255,254.300,140.500
38,10,255,255,255,289.300,141.500
39,10,255,255,255,185.300,142.500
40,10,255,255,255,205.300,142.500
41,10,255,255,255,676.300,144.500
42,10,255,255,255,700.300,149.500
43,10,255,255,255,216.300,157.500
44,10,255,255,255,684.300,157.500
45,10,255,255,255,277.300,158.500
46,10,255,255,255,182.300,165.500
47,10,255,255,255,249.300,168.500
48,10,255,255,255,552.300,170.500
49,10,255,255,255,293.300,172.500
50,10,255,255,255,210.300,176.500
51,10,255,255,255,280.300,178.500
52,10,255,255,255,314.300,180.500
53,10,255,255,255,514.300,182.500
54,10,255,255,255,230.300,184.500
55,10,255,255,255,653.300,184.500
56,10,255,255,255,257.300,186.500
57,10,255,255,255,266.300,188.500
58,10,255,255,255,300.300,192.500
59,10,255,255,255,246.300,193.500
60,10,255,255,255,317.300,212.500
61,10,255,255,255,661.300,213.500
62,10,255,255,255,393.300,214.500
63,10,255,255,255,208.300,216.500
64,10,255,255,255,542.300,217.500
65,10,255,255,255,196.300,238.500
66,10,255,255,255,618.300,238.500
67,10,255,255,255,357.300,241.500
68,10,255,255,255,204.300,242.500
69,10,255,255,255,220.300,242.500
70,10,255,255,255,674.300,244.500
71,10,255,255,255,320.300,245.500
72,10,255,255,255,337.300,246.500
73,10,255,255,255,380.300,248.500
74,10,255,255,255,360.300,253.500
75,10,255,255,255,213.300,256.500
76,10,255,255,255,318.300,256.500
77,10,255,255,255,566.300,256.500
78,10,255,255,255,168.300,264.500
79,10,255,255,255,365.300,268.500
80,10,255,255,255,194.300,270.500
81,10,255,255,255,212.300,270.500
82,10,255,255,255,577.300,272.500
83,10,255,255,255,285.300,278.500
84,10,255,255,255,616.300,278.500
85,10,255,255,255,406.300,280.500
86,10,255,255,255,354.300,286.500
87,10,255,255,255,578.300,288.500
88,10,255,255,255,602.300,289.500
89,10,255,255,255,585.300,294.500
90,10,255,255,255,346.300,300.500
91,10,255,255,255,565.300,301.500
92,10,255,255,255,674.300,301.500
93,10,255,255,255,189.300,302.500
94,10,255,255,255,128.300,305.500
95,10,255,255,255,268.300,308.500
96,10,255,255,255,337.300,317.500
97,10,255,255,255,558.300,324.500
98,10,255,255,255,134.300,325.500
99,10,255,255,255,148.300,325.500
100,10,255,255,255,105.300,326.500
101,10,255,255,255,586.300,330.500
102,10,255,255,255,188.300,332.500
103,10,255,255,255,285.300,333.500
104,10,255,255,255,126.300,337.500
105,10,255,255,255,318.300,340.500
106,10,255,255,255,108.300,345.500
