 ,Area,Mean,Min,Max,X,Y
1,9,255,255,255,270.389,17.167
2,10,255,255,255,288.300,28.000
3,12,255,255,255,234.500,47.000
4,12,255,255,255,217.500,76.000
5,11,255,255,255,594.591,96.864
6,11,255,255,255,286.409,115.864
7,10,255,255,255,194.500,124.700
8,11,255,255,255,266.409,124.864
9,12,255,255,255,58.000,128.000
10,11,255,255,255,623.409,128.864
11,12,255,255,255,549.750,129.833
12,13,255,255,255,115.885,131.885
13,11,255,255,255,262.409,132.864
14,12,255,255,255,555.750,136.833
15,12,255,255,255,62.000,138.000
16,11,255,255,255,282.409,138.864
17,10,255,255,255,200.500,141.700
18,11,255,255,255,272.409,147.864
19,10,255,255,255,190.500,148.700
20,10,255,255,255,221.500,152.700
21,10,255,255,255,201.500,153.700
22,11,255,255,255,141.682,197.682
23,12,255,255,255,434.000,199.000
24,12,255,255,255,29.000,200.000
25,11,255,255,255,552.682,199.682
26,12,255,255,255,6.000,202.000
27,13,255,255,255,98.885,201.885
28,10,255,255,255,212.500,206.700
29,13,255,255,255,403.115,206.885
30,10,255,255,255,647.500,207.700
31,11,255,255,255,141.682,211.682
32,11,255,255,255,713.409,211.864
33,13,255,255,255,503.885,212.885
34,10,255,255,255,616.500,212.700
35,12,255,255,255,56.000,217.000
36,11,255,255,255,343.409,216.864
37,12,255,255,255,21.000,218.000
38,12,255,255,255,425.000,218.000
39,11,255,255,255,703.409,217.864
40,13,255,255,255,388.115,218.885
41,13,255,255,255,477.885,218.885
42,11,255,255,255,549.682,218.682
43,10,255,255,255,632.500,219.700
44,10,255,255,255,228.500,221.700
45,10,255,255,255,673.500,221.700
46,10,255,255,255,208.500,222.700
47,10,255,255,255,279.500,223.700
48,13,255,255,255,403.115,224.885
49,11,255,255,255,518.682,224.682
50,12,255,255,255,447.000,231.000
51,12,255,255,255,384.250,232.833
52,11,255,255,255,162.682,233.682
53,11,255,255,255,741.409,233.864
54,10,255,255,255,248.500,236.700
55,10,255,255,255,610.500,236.700
56,10,255,255,255,746.500,247.700
57,11,255,255,255,143.682,248.682
58,10,255,255,255,284.500,249.700
59,11,255,255,255,532.682,250.682
60,12,255,255,255,421.083,251.750
61,11,255,255,255,751.318,252.682
62,12,255,255,255,487.833,253.750
63,10,255,255,255,594.500,254.700
64,11,255,255,255,161.682,256.682
65,10,255,255,255,637.500,256.700
66,10,255,255,255,294.500,257.700
67,10,255,255,255,331.500,258.700
68,12,255,255,255,459.833,259.750
69,10,255,255,255,211.500,260.700
70,11,255,255,255,524.682,261.682
71,10,255,255,255,280.500,263.700
72,11,255,255,255,445.955,264.864
73,12,255,255,255,76.833,266.750
74,11,255,255,255,171.682,268.682
75,10,255,255,255,226.500,268.700
76,11,255,255,255,562.682,268.682
77,11,255,255,255,419.136,274.591
78,10,255,255,255,380.300,275.500
79,10,255,255,255,282.500,276.700
80,11,255,255,255,492.682,276.682
81,11,255,255,255,588.682,276.682
82,10,255,255,255,753.300,276.500
83,10,255,255,255,201.500,277.700
84,10,255,255,255,674.500,277.700
85,11,255,255,255,506.682,282.682
86,9,255,255,255,684.500,285.500
87,10,255,255,255,88.700,288.500
88,9,255,255,255,206.500,289.500
89,11,255,255,255,35.136,290.591
90,9,255,255,255,591.500,290.500
91,9,255,255,255,677.500,293.500
92,10,255,255,255,407.300,294.500
93,9,255,255,255,279.500,295.500
94,10,255,255,255,379.300,295.500
95,11,255,255,255,432.136,295.591
96,12,255,255,255,59.000,296.500
97,10,255,255,255,573.700,299.500
98,10,255,255,255,79.700,300.500
99,10,255,255,255,103.700,300.500
100,10,255,255,255,476.700,302.500
101,9,255,255,255,603.500,302.500
102,9,255,255,255,326.500,304.500
103,11,255,255,255,34.136,306.591
104,12,255,255,255,57.000,307.500
105,11,255,255,255,72.864,310.409
106,10,255,255,255,544.700,311.500
107,10,255,255,255,341.300,312.500
108,10,255,255,255,94.700,313.500
109,11,255,255,255,25.136,315.591
110,9,255,255,255,709.500,317.500
111,10,255,255,255,754.300,318.500
112,10,255,255,255,137.700,319.500
113,9,255,255,255,297.500,320.500
114,10,255,255,255,6.300,322.500
