 ,Area,Mean,Min,Max,X,Y
1,12,255,255,255,241,6
2,12,255,255,255,261,7
3,12,255,255,255,192,8
4,12,255,255,255,169,9
5,12,255,255,255,233,10
6,12,255,255,255,251,13
7,12,255,255,255,567,13
8,12,255,255,255,562,22
9,12,255,255,255,192,27
10,12,255,255,255,336,29
11,12,255,255,255,267,31
12,12,255,255,255,347,31
13,12,255,255,255,358,35
14,12,255,255,255,562,37
15,12,255,255,255,376,47
16,12,255,255,255,372,107
17,12,255,255,255,73,110
18,12,255,255,255,357,113
19,12,255,255,255,344,116
20,12,255,255,255,374,118
21,12,255,255,255,349,120
22,12,255,255,255,331,126
23,12,255,255,255,316,132
24,12,255,255,255,348,132
25,12,255,255,255,363,133
26,12,255,255,255,386,139
27,12,255,255,255,358,145
28,12,255,255,255,375,146
29,12,255,255,255,170,158
30,12,255,255,255,146,168
31,12,255,255,255,171,173
32,12,255,255,255,368,177
33,12,255,255,255,65,178
34,12,255,255,255,346,179
35,12,255,255,255,154,180
36,12,255,255,255,150,187
37,12,255,255,255,61,189
38,12,255,255,255,164,190
39,12,255,255,255,341,206
40,12,255,255,255,259,228
41,12,255,255,255,284,235
42,12,255,255,255,323,235
43,12,255,255,255,374,241
44,12,255,255,255,307,243
45,12,255,255,255,342,243
46,12,255,255,255,366,248
47,12,255,255,255,358,256
48,12,255,255,255,346,261
49,12,255,255,255,361,271
50,12,255,255,255,347,280
51,12,255,255,255,201,283
52,12,255,255,255,326,286
53,12,255,255,255,160,289
54,12,255,255,255,202,292
55,12,255,255,255,343,293
56,12,255,255,255,24,297
57,12,255,255,255,586,301
58,12,255,255,255,569,302
59,12,255,255,255,312,303
60,12,255,255,255,334,304
61,12,255,255,255,448,305
62,12,255,255,255,352,309
63,12,255,255,255,592,310
64,12,255,255,255,329,313
65,12,255,255,255,434,314
66,12,255,255,255,564,317
67,12,255,255,255,317,321
68,12,255,255,255,464,321
69,12,255,255,255,333,322
70,12,255,255,255,549,327
71,12,255,255,255,570,328
72,12,255,255,255,649,332
73,12,255,255,255,665,335
74,12,255,255,255,686,335
75,12,255,255,255,585,340
76,12,255,255,255,690,342
77,12,255,255,255,640,344
78,12,255,255,255,616,346
79,12,255,255,255,650,348
80,12,255,255,255,614,352
81,12,255,255,255,621,357
82,12,255,255,255,660,358
83,12,255,255,255,601,360
84,12,255,255,255,639,364
85,12,255,255,255,664,364
86,12,255,255,255,199,367
87,12,255,255,255,215,369
88,12,255,255,255,179,371
89,12,255,255,255,627,371
90,12,255,255,255,597,375
91,12,255,255,255,211,377
92,12,255,255,255,423,382
93,12,255,255,255,466,382
94,12,255,255,255,179,384
95,12,255,255,255,447,385
96,12,255,255,255,80,389
97,12,255,255,255,216,389
98,12,255,255,255,169,390
99,12,255,255,255,680,390
100,12,255,255,255,438,393
101,12,255,255,255,464,393
102,12,255,255,255,661,397
103,12,255,255,255,675,399
104,12,255,255,255,697,402
105,12,255,255,255,494,403
106,12,255,255,255,73,407
107,12,255,255,255,665,408
108,12,255,255,255,425,419
109,12,255,255,255,75,425
110,12,255,255,255,664,425
111,12,255,255,255,700,427
112,12,255,255,255,649,432
113,12,255,255,255,687,435
114,12,255,255,255,673,438
115,12,255,255,255,376,442
116,12,255,255,255,684,448
117,12,255,255,255,666,449
118,12,255,255,255,121,458
119,12,255,255,255,640,461
120,12,255,255,255,323,466
121,12,255,255,255,341,466
122,12,255,255,255,727,468
123,12,255,255,255,671,472
124,12,255,255,255,739,476
125,12,255,255,255,731,482
126,12,255,255,255,511,483
127,12,255,255,255,501,489
128,12,255,255,255,736,516
129,12,255,255,255,586,576
