 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,56.300,12.500
2,10,255,255,255,372.300,13.500
3,10,255,255,255,478.300,13.500
4,10,255,255,255,200.300,14.500
5,10,255,255,255,160.300,16.500
6,10,255,255,255,429.300,16.500
7,10,255,255,255,490.300,17.500
8,10,255,255,255,14.300,20.500
9,10,255,255,255,602.300,20.500
10,10,255,255,255,300.300,21.500
11,10,255,255,255,225.300,22.500
12,10,255,255,255,257.300,25.500
13,10,255,255,255,318.300,26.500
14,10,255,255,255,366.300,29.500
15,10,255,255,255,422.300,32.500
16,10,255,255,255,269.300,34.500
17,10,255,255,255,594.300,34.500
18,10,255,255,255,485.300,38.500
19,10,255,255,255,498.300,38.500
20,10,255,255,255,433.300,45.500
21,10,255,255,255,221.300,50.500
22,10,255,255,255,48.300,54.500
23,10,255,255,255,94.300,57.500
24,10,255,255,255,370.300,58.500
25,10,255,255,255,418.300,60.500
26,10,255,255,255,544.300,60.500
27,10,255,255,255,768.300,60.500
28,10,255,255,255,172.300,64.500
29,10,255,255,255,201.300,64.500
30,10,255,255,255,240.300,68.500
31,10,255,255,255,217.300,69.500
32,10,255,255,255,465.300,78.500
33,10,255,255,255,288.300,80.500
34,10,255,255,255,132.300,82.500
35,10,255,255,255,489.300,82.500
36,10,255,255,255,14.300,89.500
37,10,255,255,255,244.300,97.500
38,10,255,255,255,137.300,100.500
39,10,255,255,255,166.300,100.500
40,10,255,255,255,433.300,100.500
41,10,255,255,255,309.300,105.500
42,10,255,255,255,150.300,106.500
43,10,255,255,255,362.300,108.500
44,10,255,255,255,296.300,109.500
45,10,255,255,255,400.300,110.500
46,10,255,255,255,325.300,112.500
47,10,255,255,255,645.300,116.500
48,10,255,255,255,600.300,124.500
49,10,255,255,255,328.300,126.500
50,10,255,255,255,292.300,132.500
51,10,255,255,255,98.300,136.500
52,10,255,255,255,580.300,136.500
53,10,255,255,255,164.300,138.500
54,10,255,255,255,137.300,140.500
55,10,255,255,255,221.300,141.500
56,10,255,255,255,246.300,148.500
57,10,255,255,255,188.300,149.500
58,10,255,255,255,684.300,149.500
59,10,255,255,255,381.300,150.500
60,10,255,255,255,604.300,150.500
61,10,255,255,255,398.300,152.500
62,10,255,255,255,640.300,156.500
63,10,255,255,255,149.300,161.500
64,10,255,255,255,342.300,165.500
65,10,255,255,255,300.300,166.500
66,10,255,255,255,358.300,166.500
67,10,255,255,255,700.300,166.500
68,10,255,255,255,373.300,168.500
69,10,255,255,255,445.300,169.500
70,10,255,255,255,176.300,170.500
71,10,255,255,255,486.300,170.500
72,10,255,255,255,621.300,170.500
73,10,255,255,255,324.300,172.500
74,10,255,255,255,744.300,173.500
75,10,255,255,255,56.300,177.500
76,10,255,255,255,221.300,177.500
77,10,255,255,255,520.300,177.500
78,10,255,255,255,300.300,178.500
79,10,255,255,255,449.300,180.500
80,10,255,255,255,786.300,180.500
81,10,255,255,255,21.300,181.500
82,10,255,255,255,265.300,184.500
