 ,Area,Mean,Min,Max,X,Y
1,12,255,255,255,434.500,79.000
2,12,255,255,255,92.000,147.000
3,13,255,255,255,243.885,151.885
4,13,255,255,255,163.885,161.885
5,13,255,255,255,207.885,165.885
6,13,255,255,255,224.885,185.885
7,13,255,255,255,245.885,188.885
8,13,255,255,255,260.885,198.885
9,13,255,255,255,210.885,199.885
10,13,255,255,255,230.885,202.885
11,13,255,255,255,245.885,202.885
12,13,255,255,255,197.885,205.885
13,11,255,255,255,286.682,209.682
14,11,255,255,255,278.682,215.682
15,13,255,255,255,222.885,218.885
16,11,255,255,255,301.682,220.682
17,13,255,255,255,207.885,222.885
18,11,255,255,255,285.682,222.682
19,13,255,255,255,221.885,228.885
20,13,255,255,255,12.115,233.885
21,11,255,255,255,306.682,234.682
22,13,255,255,255,209.885,236.885
23,12,255,255,255,230.833,237.750
24,13,255,255,255,198.885,239.885
25,12,255,255,255,220.833,246.750
26,11,255,255,255,297.682,260.682
27,11,255,255,255,289.682,269.682
28,11,255,255,255,311.682,269.682
29,11,255,255,255,305.682,281.682
30,11,255,255,255,323.682,282.682
31,11,255,255,255,372.682,285.682
32,11,255,255,255,299.682,288.682
33,11,255,255,255,315.682,290.682
34,11,255,255,255,333.682,290.682
35,11,255,255,255,359.682,296.682
36,11,255,255,255,340.682,303.682
37,10,255,255,255,350.700,310.500
38,11,255,255,255,135.864,333.409
39,10,255,255,255,294.700,380.500
40,10,255,255,255,321.700,382.500
41,11,255,255,255,226.864,430.409
42,11,255,255,255,245.864,435.409
43,11,255,255,255,222.864,443.409
44,11,255,255,255,235.864,448.409
45,11,255,255,255,246.864,453.409
46,11,255,255,255,262.864,464.409
47,11,255,255,255,253.864,467.409
48,10,255,255,255,469.500,476.300
49,11,255,255,255,255.864,485.409
50,11,255,255,255,710.318,519.318
51,11,255,255,255,711.318,531.318
52,10,255,255,255,695.200,544.200
53,10,255,255,255,711.200,548.200
54,10,255,255,255,704.200,560.200
55,10,255,255,255,586.500,589.300
