 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,432.300,53.500
2,10,255,255,255,83.300,82.500
3,10,255,255,255,604.300,84.500
4,10,255,255,255,514.300,95.500
5,10,255,255,255,541.300,96.500
6,10,255,255,255,531.300,97.500
7,10,255,255,255,116.300,110.500
8,10,255,255,255,649.300,110.500
9,10,255,255,255,495.300,120.500
10,10,255,255,255,660.300,121.500
11,10,255,255,255,510.300,124.500
12,10,255,255,255,484.300,132.500
13,10,255,255,255,195.300,151.500
14,10,255,255,255,445.300,156.500
15,10,255,255,255,623.300,158.500
16,10,255,255,255,601.300,169.500
17,10,255,255,255,164.300,172.500
18,9,255,255,255,607.167,204.611
19,10,255,255,255,441.300,205.500
20,10,255,255,255,421.300,208.500
21,10,255,255,255,602.300,215.500
22,10,255,255,255,540.300,216.500
23,10,255,255,255,454.300,225.500
24,10,255,255,255,550.300,242.500
25,10,255,255,255,585.300,247.500
26,10,255,255,255,192.300,253.500
27,9,255,255,255,156.167,255.389
28,10,255,255,255,54.300,263.500
29,10,255,255,255,600.300,263.500
30,10,255,255,255,541.300,268.500
31,10,255,255,255,468.300,276.500
32,9,255,255,255,545.500,279.500
33,10,255,255,255,481.300,280.500
34,10,255,255,255,301.300,281.500
35,10,255,255,255,439.300,289.500
36,10,255,255,255,355.300,294.500
37,10,255,255,255,738.300,297.500
38,10,255,255,255,429.300,298.500
39,10,255,255,255,341.300,301.500
40,10,255,255,255,417.300,301.500
41,10,255,255,255,502.300,302.500
42,10,255,255,255,542.300,308.500
43,10,255,255,255,444.300,317.500
44,10,255,255,255,245.300,329.500
45,10,255,255,255,345.300,329.500
46,10,255,255,255,253.300,342.500
47,10,255,255,255,695.300,344.500
48,10,255,255,255,186.300,347.500
49,10,255,255,255,121.300,348.500
50,10,255,255,255,760.300,348.500
51,10,255,255,255,274.300,350.500
52,10,255,255,255,599.300,355.500
53,10,255,255,255,263.300,357.500
54,10,255,255,255,748.300,359.500
55,10,255,255,255,388.300,361.500
56,10,255,255,255,271.300,364.500
57,10,255,255,255,189.300,380.500
58,10,255,255,255,475.300,381.500
59,10,255,255,255,485.300,382.500
60,10,255,255,255,635.300,385.500
61,10,255,255,255,641.300,394.500
62,10,255,255,255,314.300,407.500
63,10,255,255,255,558.300,409.500
64,10,255,255,255,581.300,410.500
65,10,255,255,255,531.300,413.500
66,10,255,255,255,100.300,418.500
67,10,255,255,255,599.300,421.500
68,10,255,255,255,523.300,425.500
69,10,255,255,255,615.300,430.500
70,10,255,255,255,178.300,433.500
71,10,255,255,255,592.300,438.500
72,10,255,255,255,628.300,443.500
73,10,255,255,255,527.300,446.500
74,9,255,255,255,175.389,448.611
75,10,255,255,255,442.300,451.500
76,10,255,255,255,651.300,452.500
77,10,255,255,255,626.300,455.500
78,10,255,255,255,425.300,460.500
79,10,255,255,255,442.300,464.500
80,10,255,255,255,544.300,465.500
81,10,255,255,255,610.300,466.500
82,10,255,255,255,531.300,470.500
83,10,255,255,255,482.300,473.500
84,9,255,255,255,79.167,476.611
85,10,255,255,255,335.300,477.500
86,10,255,255,255,555.300,479.500
87,10,255,255,255,37.300,490.500
88,10,255,255,255,338.300,490.500
89,10,255,255,255,307.300,496.500
90,10,255,255,255,199.300,498.500
91,10,255,255,255,357.300,502.500
92,10,255,255,255,346.300,504.500
93,9,255,255,255,113.500,505.500
94,10,255,255,255,186.300,507.500
95,10,255,255,255,150.300,513.500
96,10,255,255,255,125.300,515.500
97,10,255,255,255,227.300,518.500
98,10,255,255,255,225.300,526.500
99,10,255,255,255,376.300,533.500
100,10,255,255,255,323.300,534.500
101,10,255,255,255,267.300,545.500
102,10,255,255,255,371.300,548.500
103,10,255,255,255,337.300,550.500
104,10,255,255,255,251.300,552.500
105,10,255,255,255,227.300,563.500
106,10,255,255,255,790.300,564.500
107,10,255,255,255,432.300,585.500
