 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,732.300,33.500
2,10,255,255,255,792.300,48.500
3,10,255,255,255,346.300,64.500
4,10,255,255,255,145.300,66.500
5,10,255,255,255,437.300,82.500
6,10,255,255,255,306.300,98.500
7,10,255,255,255,92.300,100.500
8,10,255,255,255,786.300,102.500
9,10,255,255,255,144.300,105.500
10,10,255,255,255,550.300,105.500
11,10,255,255,255,426.300,106.500
12,15,255,255,255,310.767,109.567
13,10,255,255,255,177.300,110.500
14,10,255,255,255,97.300,121.500
15,10,255,255,255,77.300,122.500
16,10,255,255,255,293.300,130.500
17,10,255,255,255,314.300,133.500
18,10,255,255,255,412.300,144.500
19,10,255,255,255,653.300,146.500
20,10,255,255,255,348.300,154.500
21,10,255,255,255,622.300,160.500
22,10,255,255,255,662.300,177.500
23,10,255,255,255,453.300,185.500
24,10,255,255,255,436.300,194.500
25,10,255,255,255,418.300,197.500
26,10,255,255,255,744.300,202.500
27,10,255,255,255,41.300,220.500
28,10,255,255,255,156.300,220.500
29,10,255,255,255,413.300,224.500
30,10,255,255,255,689.300,225.500
31,10,255,255,255,449.300,244.500
32,10,255,255,255,164.300,260.500
33,10,255,255,255,206.300,266.500
34,10,255,255,255,704.300,274.500
35,10,255,255,255,596.300,278.500
36,10,255,255,255,280.300,297.500
37,10,255,255,255,628.300,298.500
38,10,255,255,255,265.300,301.500
39,10,255,255,255,614.300,314.500
40,10,255,255,255,496.300,330.500
41,10,255,255,255,678.300,332.500
42,10,255,255,255,474.300,338.500
43,10,255,255,255,712.300,346.500
44,10,255,255,255,674.300,352.500
45,10,255,255,255,142.300,357.500
46,10,255,255,255,456.300,360.500
47,10,255,255,255,608.300,360.500
48,10,255,255,255,702.300,378.500
49,10,255,255,255,217.300,380.500
50,10,255,255,255,357.300,385.500
51,10,255,255,255,573.300,390.500
52,10,255,255,255,645.300,394.500
53,10,255,255,255,528.300,397.500
54,10,255,255,255,233.300,401.500
55,10,255,255,255,764.300,406.500
56,10,255,255,255,288.300,417.500
57,10,255,255,255,536.300,417.500
58,10,255,255,255,685.300,430.500
59,10,255,255,255,280.300,434.500
60,10,255,255,255,558.300,450.500
61,10,255,255,255,653.300,468.500
62,10,255,255,255,637.300,484.500
63,10,255,255,255,650.300,509.500
64,10,255,255,255,762.300,574.500
