 ,Area,Mean,Min,Max,X,Y
1,12,255,255,255,177,327
2,12,255,255,255,249,330
3,12,255,255,255,241,339
4,12,255,255,255,273,347
5,12,255,255,255,367,347
6,12,255,255,255,281,359
7,12,255,255,255,300,360
8,12,255,255,255,291,364
9,12,255,255,255,247,367
10,12,255,255,255,193,368
11,12,255,255,255,283,372
12,12,255,255,255,680,377
13,12,255,255,255,339,380
14,12,255,255,255,611,381
15,12,255,255,255,183,383
16,12,255,255,255,603,387
17,12,255,255,255,533,400
18,12,255,255,255,716,406
19,12,255,255,255,139,407
20,12,255,255,255,724,412
21,12,255,255,255,125,413
22,12,255,255,255,147,414
23,12,255,255,255,627,418
24,12,255,255,255,126,419
25,12,255,255,255,759,422
26,12,255,255,255,581,425
27,12,255,255,255,529,426
28,12,255,255,255,207,428
29,12,255,255,255,514,431
30,12,255,255,255,712,432
31,12,255,255,255,789,434
32,12,255,255,255,683,436
33,12,255,255,255,195,438
34,12,255,255,255,523,444
35,12,255,255,255,786,445
36,12,255,255,255,616,447
37,12,255,255,255,552,449
38,12,255,255,255,695,455
39,12,255,255,255,736,456
40,12,255,255,255,228,462
41,12,255,255,255,746,462
42,12,255,255,255,363,468
43,12,255,255,255,186,470
44,12,255,255,255,433,475
45,12,255,255,255,290,479
46,12,255,255,255,684,482
47,12,255,255,255,422,483
48,12,255,255,255,643,486
49,12,255,255,255,430,487
50,12,255,255,255,278,490
51,12,255,255,255,384,490
52,12,255,255,255,568,492
53,12,255,255,255,637,492
54,12,255,255,255,454,493
55,12,255,255,255,590,498
56,12,255,255,255,256,501
57,12,255,255,255,180,502
58,12,255,255,255,528,503
59,12,255,255,255,569,504
60,12,255,255,255,262,505
61,12,255,255,255,372,505
62,12,255,255,255,517,505
63,12,255,255,255,177,513
64,12,255,255,255,783,516
65,12,255,255,255,213,519
66,12,255,255,255,641,519
67,12,255,255,255,610,521
68,12,255,255,255,481,522
69,12,255,255,255,633,522
70,12,255,255,255,604,527
71,12,255,255,255,428,530
72,12,255,255,255,210,531
73,12,255,255,255,468,531
74,12,255,255,255,697,531
75,12,255,255,255,226,532
76,12,255,255,255,655,534
77,12,255,255,255,586,536
78,12,255,255,255,570,538
79,12,255,255,255,747,539
80,12,255,255,255,790,545
81,12,255,255,255,698,546
82,12,255,255,255,582,552
83,12,255,255,255,615,558
84,12,255,255,255,787,561
