 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,243.300,222.500
2,10,255,255,255,267.300,256.500
3,10,255,255,255,372.300,305.500
4,10,255,255,255,263.300,315.500
5,10,255,255,255,573.300,346.500
6,10,255,255,255,292.300,368.500
7,10,255,255,255,308.300,368.500
8,10,255,255,255,91.300,387.500
9,10,255,255,255,314.300,388.500
10,10,255,255,255,27.300,393.500
11,10,255,255,255,39.300,394.500
12,10,255,255,255,99.300,398.500
13,10,255,255,255,110.300,399.500
14,10,255,255,255,322.300,400.500
15,10,255,255,255,30.300,410.500
16,10,255,255,255,110.300,457.500
17,10,255,255,255,126.300,463.500
18,10,255,255,255,131.300,476.500
19,10,255,255,255,765.300,531.500
20,10,255,255,255,762.300,540.500
21,10,255,255,255,427.300,547.500
22,10,255,255,255,630.300,549.500
23,10,255,255,255,631.300,558.500
