 ,Area,Mean,Min,Max,X,Y
1,9,255,255,255,500.500,295.500
2,9,255,255,255,566.500,306.500
3,10,255,255,255,294.700,307.500
4,10,255,255,255,176.700,311.500
5,10,255,255,255,145.700,328.500
6,10,255,255,255,173.700,332.500
7,11,255,255,255,113.864,336.409
8,11,255,255,255,103.864,340.409
9,10,255,255,255,172.700,341.500
10,10,255,255,255,180.700,346.500
11,10,255,255,255,223.700,360.500
12,10,255,255,255,238.700,361.500
13,10,255,255,255,298.700,378.500
14,10,255,255,255,283.700,380.500
15,10,255,255,255,266.700,385.500
16,10,255,255,255,292.700,392.500
17,11,255,255,255,171.864,408.409
18,11,255,255,255,171.864,414.409
19,9,255,255,255,615.500,419.500
20,10,255,255,255,319.700,420.500
21,10,255,255,255,311.700,421.500
22,9,255,255,255,469.500,422.500
23,10,255,255,255,349.700,425.500
24,10,255,255,255,305.700,428.500
25,10,255,255,255,322.700,428.500
26,9,255,255,255,594.500,429.500
27,9,255,255,255,476.500,435.500
28,10,255,255,255,351.700,441.500
29,9,255,255,255,528.500,442.500
30,10,255,255,255,360.700,444.500
31,9,255,255,255,383.500,461.500
32,9,255,255,255,408.500,463.500
33,9,255,255,255,423.500,463.500
34,9,255,255,255,365.500,471.500
35,10,255,255,255,319.700,473.500
36,9,255,255,255,475.500,475.500
37,11,255,255,255,255.864,476.409
38,9,255,255,255,488.500,482.500
39,11,255,255,255,260.864,486.409
40,11,255,255,255,282.864,487.409
41,9,255,255,255,486.500,492.500
42,10,255,255,255,580.500,503.300
43,10,255,255,255,588.500,510.300
44,10,255,255,255,473.500,573.300
45,10,255,255,255,466.500,576.300
46,10,255,255,255,719.200,582.200
47,10,255,255,255,478.500,587.300
48,10,255,255,255,708.200,587.200
49,10,255,255,255,725.200,589.200
