 ,Area,Mean,Min,Max,X,Y
1,12,255,255,255,244.000,19.000
2,11,255,255,255,383.591,88.864
3,13,255,255,255,144.885,184.885
4,13,255,255,255,157.885,198.885
5,10,255,255,255,426.500,277.700
6,10,255,255,255,177.700,278.500
7,10,255,255,255,767.300,291.500
8,10,255,255,255,760.300,296.500
9,9,255,255,255,410.500,336.500
10,9,255,255,255,439.500,349.500
11,9,255,255,255,485.500,358.500
12,9,255,255,255,411.500,367.500
13,9,255,255,255,457.500,373.500
14,9,255,255,255,444.500,374.500
15,9,255,255,255,468.500,385.500
16,10,255,255,255,373.700,392.500
17,9,255,255,255,407.500,392.500
18,9,255,255,255,380.500,403.500
19,10,255,255,255,585.500,503.300
