 ,Area,Mean,Min,Max,X,Y
1,22,255,255,255,304.227,151.318
2,20,255,255,255,697.850,153.600
3,20,255,255,255,679.500,235.450
4,20,255,255,255,74.050,316.350
5,18,255,255,255,265.444,330.389
6,11,255,255,255,181.409,342.318
7,10,255,255,255,51.300,343.500
8,18,255,255,255,125.667,355.167
9,16,255,255,255,567.688,395.688
10,12,255,255,255,550.000,399.500
11,23,255,255,255,503.587,410.500
12,13,255,255,255,350.885,426.192
13,13,255,255,255,208.115,429.346
14,16,255,255,255,500.438,457.250
15,17,255,255,255,399.853,465.971
16,13,255,255,255,642.115,493.346
