 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,684.300,21.500
2,10,255,255,255,100.300,65.500
3,10,255,255,255,85.300,70.500
4,10,255,255,255,369.300,105.500
5,10,255,255,255,558.300,180.500
6,12,255,255,255,394.583,192.333
7,10,255,255,255,744.300,233.500
8,12,255,255,255,92.417,260.833
9,10,255,255,255,84.300,289.500
10,10,255,255,255,20.300,342.500
11,10,255,255,255,16.300,358.500
12,17,255,255,255,355.971,374.735
13,15,255,255,255,346.100,382.100
14,10,255,255,255,45.300,384.500
15,10,255,255,255,278.300,404.500
16,10,255,255,255,534.300,408.500
17,10,255,255,255,122.300,421.500
18,10,255,255,255,461.300,453.500
19,10,255,255,255,770.300,469.500
20,10,255,255,255,664.300,517.500
21,10,255,255,255,596.300,542.500
22,10,255,255,255,38.300,561.500
