 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,480.300,89.500
2,10,255,255,255,536.300,137.500
3,10,255,255,255,424.300,144.500
4,10,255,255,255,421.300,157.500
5,10,255,255,255,409.300,172.500
6,10,255,255,255,61.300,298.500
7,10,255,255,255,549.300,320.500
8,10,255,255,255,561.300,324.500
9,10,255,255,255,138.300,349.500
10,10,255,255,255,288.300,389.500
11,10,255,255,255,641.300,402.500
12,10,255,255,255,626.300,422.500
13,10,255,255,255,258.300,433.500
14,10,255,255,255,282.300,433.500
15,10,255,255,255,18.300,437.500
16,10,255,255,255,265.300,505.500
17,10,255,255,255,184.300,549.500
18,10,255,255,255,146.300,560.500
19,10,255,255,255,149.300,569.500
20,10,255,255,255,698.300,585.500
