 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,305.300,108.500
2,10,255,255,255,276.300,116.500
3,10,255,255,255,712.300,226.500
4,10,255,255,255,740.300,226.500
5,10,255,255,255,773.300,229.500
6,10,255,255,255,658.300,232.500
7,10,255,255,255,568.300,233.500
8,10,255,255,255,688.300,234.500
9,10,255,255,255,514.300,242.500
10,10,255,255,255,57.300,244.500
11,10,255,255,255,532.300,244.500
12,10,255,255,255,701.300,249.500
13,10,255,255,255,589.300,250.500
14,10,255,255,255,716.300,252.500
15,10,255,255,255,244.300,260.500
16,10,255,255,255,380.300,260.500
17,10,255,255,255,357.300,261.500
18,10,255,255,255,346.300,266.500
19,10,255,255,255,537.300,282.500
20,10,255,255,255,36.300,284.500
21,10,255,255,255,540.300,296.500
22,10,255,255,255,56.300,301.500
23,10,255,255,255,341.300,320.500
