 ,Area,Mean,Min,Max,X,Y
1,14,255,255,255,705.214,168.143
2,10,255,255,255,186.300,220.500
3,10,255,255,255,418.300,241.500
4,10,255,255,255,126.300,256.500
5,10,255,255,255,164.300,272.500
6,10,255,255,255,676.300,273.500
7,10,255,255,255,80.300,289.500
8,10,255,255,255,13.300,304.500
9,10,255,255,255,628.300,316.500
10,10,255,255,255,657.300,365.500
11,10,255,255,255,126.300,384.500
12,10,255,255,255,472.300,405.500
13,19,255,255,255,784.132,417.711
14,10,255,255,255,229.300,418.500
15,10,255,255,255,405.300,433.500
16,10,255,255,255,377.300,449.500
17,10,255,255,255,573.300,469.500
18,10,255,255,255,477.300,506.500
