 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,640.300,14.500
2,7,255,255,255,32.500,16.786
3,10,255,255,255,659.300,23.500
4,10,255,255,255,130.300,62.500
5,10,255,255,255,66.300,68.500
6,10,255,255,255,218.300,111.500
7,10,255,255,255,187.300,122.500
8,10,255,255,255,318.300,135.500
9,10,255,255,255,392.300,135.500
10,10,255,255,255,168.300,139.500
11,9,255,255,255,352.500,147.500
12,10,255,255,255,464.300,158.500
13,12,255,255,255,329.417,162.167
14,10,255,255,255,75.300,162.500
15,10,255,255,255,488.300,165.500
16,12,255,255,255,227.417,190.167
17,10,255,255,255,512.300,196.500
18,10,255,255,255,405.300,204.500
19,10,255,255,255,508.300,210.500
20,10,255,255,255,53.300,211.500
21,10,255,255,255,234.300,227.500
22,10,255,255,255,175.300,231.500
23,12,255,255,255,264.000,234.500
24,10,255,255,255,383.300,234.500
25,10,255,255,255,232.300,247.500
26,10,255,255,255,195.300,248.500
27,10,255,255,255,697.300,249.500
28,10,255,255,255,622.300,254.500
29,10,255,255,255,70.300,256.500
30,9,255,255,255,111.167,259.389
31,10,255,255,255,297.300,262.500
32,10,255,255,255,610.300,264.500
33,10,255,255,255,153.300,267.500
34,10,255,255,255,91.300,298.500
35,13,255,255,255,398.115,302.115
36,10,255,255,255,789.300,313.500
37,10,255,255,255,13.300,314.500
38,10,255,255,255,405.300,315.500
39,10,255,255,255,292.300,318.500
40,9,255,255,255,639.167,319.389
41,10,255,255,255,175.300,327.500
42,10,255,255,255,125.300,328.500
43,10,255,255,255,148.300,338.500
44,10,255,255,255,108.300,340.500
45,10,255,255,255,181.300,346.500
46,10,255,255,255,164.300,347.500
47,10,255,255,255,459.300,355.500
48,10,255,255,255,246.300,356.500
49,10,255,255,255,119.300,357.500
50,10,255,255,255,347.300,361.500
51,10,255,255,255,215.300,367.500
52,10,255,255,255,179.300,378.500
53,10,255,255,255,498.300,379.500
54,10,255,255,255,510.300,396.500
55,10,255,255,255,103.300,419.500
56,10,255,255,255,80.300,426.500
57,10,255,255,255,120.300,443.500
58,10,255,255,255,720.300,449.500
59,10,255,255,255,485.300,455.500
60,10,255,255,255,647.300,473.500
61,9,255,255,255,177.500,485.500
62,10,255,255,255,24.300,489.500
63,10,255,255,255,282.300,496.500
64,10,255,255,255,28.300,501.500
65,10,255,255,255,157.300,501.500
66,10,255,255,255,90.300,502.500
67,10,255,255,255,704.300,510.500
68,10,255,255,255,162.300,523.500
69,10,255,255,255,168.300,550.500
70,10,255,255,255,204.300,566.500
71,10,255,255,255,221.300,577.500
72,10,255,255,255,755.300,581.500
73,10,255,255,255,729.300,591.500
