 ,Area,Mean,Min,Max,X,Y
1,11,255,255,255,695.500,98.500
2,10,255,255,255,72.300,102.500
3,9,255,255,255,721.500,106.500
4,10,255,255,255,95.300,125.500
5,10,255,255,255,88.300,169.500
6,10,255,255,255,128.300,182.500
7,10,255,255,255,112.300,186.500
8,10,255,255,255,87.300,188.500
9,10,255,255,255,157.300,192.500
10,9,255,255,255,144.500,208.500
11,10,255,255,255,347.300,209.500
12,10,255,255,255,126.300,214.500
13,10,255,255,255,182.300,220.500
14,10,255,255,255,201.300,220.500
15,10,255,255,255,30.300,257.500
16,10,255,255,255,116.300,259.500
17,17,255,255,255,277.382,273.794
18,10,255,255,255,316.300,283.500
19,8,255,255,255,176.250,287.250
20,10,255,255,255,69.300,297.500
21,10,255,255,255,234.300,297.500
22,10,255,255,255,420.300,301.500
23,10,255,255,255,133.300,302.500
24,10,255,255,255,191.300,305.500
25,10,255,255,255,275.300,306.500
26,10,255,255,255,532.300,325.500
27,10,255,255,255,398.300,332.500
28,10,255,255,255,236.300,335.500
29,10,255,255,255,172.300,345.500
30,14,255,255,255,411.214,350.357
31,10,255,255,255,225.300,354.500
32,10,255,255,255,391.300,358.500
33,10,255,255,255,425.300,364.500
34,10,255,255,255,245.300,367.500
35,10,255,255,255,786.300,369.500
36,10,255,255,255,86.300,375.500
37,10,255,255,255,299.300,377.500
38,10,255,255,255,62.300,382.500
39,10,255,255,255,786.300,382.500
40,10,255,255,255,219.300,403.500
41,10,255,255,255,230.300,416.500
42,10,255,255,255,284.300,426.500
43,10,255,255,255,24.300,435.500
44,10,255,255,255,302.300,467.500
45,10,255,255,255,261.300,474.500
46,10,255,255,255,473.300,478.500
47,10,255,255,255,62.300,479.500
48,10,255,255,255,459.300,483.500
49,10,255,255,255,212.300,522.500
50,10,255,255,255,210.300,531.500
51,10,255,255,255,206.300,549.500
52,10,255,255,255,226.300,550.500
53,10,255,255,255,288.300,554.500
54,10,255,255,255,315.300,554.500
55,10,255,255,255,155.300,565.500
