 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,742.300,113.500
2,10,255,255,255,467.300,181.500
3,10,255,255,255,492.300,201.500
4,10,255,255,255,177.300,238.500
5,10,255,255,255,93.300,242.500
6,10,255,255,255,527.300,242.500
7,10,255,255,255,706.300,259.500
8,10,255,255,255,185.300,264.500
9,10,255,255,255,92.300,269.500
10,10,255,255,255,108.300,271.500
11,10,255,255,255,705.300,271.500
12,10,255,255,255,454.300,280.500
13,10,255,255,255,92.300,281.500
14,10,255,255,255,743.300,281.500
15,10,255,255,255,425.300,286.500
16,9,255,255,255,479.167,288.611
17,10,255,255,255,332.300,290.500
18,10,255,255,255,512.300,290.500
19,10,255,255,255,66.300,295.500
20,10,255,255,255,411.300,299.500
21,10,255,255,255,230.300,300.500
22,10,255,255,255,331.300,300.500
23,9,255,255,255,576.500,300.500
24,10,255,255,255,83.300,302.500
25,10,255,255,255,359.300,309.500
26,10,255,255,255,403.300,316.500
27,10,255,255,255,468.300,333.500
28,8,255,255,255,768.250,335.250
29,10,255,255,255,420.300,357.500
30,10,255,255,255,487.300,374.500
31,10,255,255,255,587.300,389.500
32,10,255,255,255,572.300,392.500
33,10,255,255,255,392.300,393.500
34,10,255,255,255,104.300,397.500
35,10,255,255,255,92.300,413.500
36,10,255,255,255,382.300,413.500
37,10,255,255,255,501.300,419.500
38,10,255,255,255,96.300,426.500
39,10,255,255,255,406.300,440.500
40,10,255,255,255,750.300,443.500
41,10,255,255,255,402.300,446.500
42,10,255,255,255,444.300,453.500
43,10,255,255,255,144.300,458.500
44,10,255,255,255,748.300,459.500
45,10,255,255,255,365.300,461.500
46,10,255,255,255,41.300,462.500
47,10,255,255,255,650.300,462.500
48,10,255,255,255,716.300,471.500
49,9,255,255,255,160.500,472.500
50,10,255,255,255,460.300,473.500
51,10,255,255,255,144.300,481.500
52,10,255,255,255,460.300,483.500
53,9,255,255,255,721.500,488.500
54,10,255,255,255,672.300,491.500
55,10,255,255,255,490.300,496.500
56,10,255,255,255,170.300,499.500
57,10,255,255,255,713.300,501.500
58,10,255,255,255,70.300,506.500
59,10,255,255,255,667.300,508.500
60,10,255,255,255,711.300,515.500
61,10,255,255,255,654.300,546.500
62,10,255,255,255,258.300,552.500
63,10,255,255,255,266.300,560.500
64,10,255,255,255,683.300,564.500
65,10,255,255,255,646.300,567.500
66,10,255,255,255,198.300,579.500
