 ,Area,Mean,Min,Max,X,Y
1,9,255,255,255,111.167,387.389
2,10,255,255,255,619.300,395.500
3,9,255,255,255,15.167,403.389
4,10,255,255,255,372.300,403.500
5,10,255,255,255,569.300,406.500
6,10,255,255,255,470.300,413.500
7,10,255,255,255,74.300,415.500
8,10,255,255,255,168.300,424.500
9,10,255,255,255,370.300,424.500
10,10,255,255,255,506.300,431.500
11,10,255,255,255,376.300,446.500
12,10,255,255,255,515.300,450.500
13,10,255,255,255,434.300,476.500
14,10,255,255,255,13.300,482.500
15,10,255,255,255,306.300,502.500
16,10,255,255,255,322.300,507.500
17,10,255,255,255,113.300,508.500
18,10,255,255,255,432.300,516.500
19,10,255,255,255,360.300,522.500
20,10,255,255,255,195.300,526.500
21,9,255,255,255,209.500,528.500
22,10,255,255,255,363.300,552.500
23,10,255,255,255,422.300,558.500
