 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,593.300,8.500
2,11,255,255,255,505.045,25.500
3,10,255,255,255,157.300,48.500
4,10,255,255,255,625.300,66.500
5,10,255,255,255,540.300,98.500
6,10,255,255,255,596.300,101.500
7,13,255,255,255,674.115,105.885
8,10,255,255,255,496.300,116.500
9,10,255,255,255,566.300,118.500
10,10,255,255,255,489.300,133.500
11,10,255,255,255,593.300,145.500
12,10,255,255,255,694.300,150.500
13,14,255,255,255,630.214,154.000
14,10,255,255,255,538.300,172.500
15,10,255,255,255,578.300,178.500
16,10,255,255,255,660.300,189.500
17,10,255,255,255,29.300,193.500
18,14,255,255,255,102.143,195.929
19,10,255,255,255,468.300,194.500
20,10,255,255,255,449.300,201.500
21,10,255,255,255,586.300,206.500
22,10,255,255,255,636.300,218.500
23,10,255,255,255,602.300,221.500
24,10,255,255,255,548.300,230.500
25,10,255,255,255,714.300,244.500
26,10,255,255,255,568.300,250.500
27,10,255,255,255,398.300,254.500
28,10,255,255,255,601.300,258.500
29,10,255,255,255,658.300,258.500
30,10,255,255,255,288.300,262.500
31,10,255,255,255,642.300,266.500
32,10,255,255,255,508.300,276.500
33,10,255,255,255,441.300,278.500
34,10,255,255,255,537.300,281.500
35,10,255,255,255,572.300,290.500
36,10,255,255,255,605.300,304.500
37,10,255,255,255,404.300,322.500
38,10,255,255,255,302.300,328.500
39,10,255,255,255,704.300,332.500
40,10,255,255,255,184.300,341.500
41,10,255,255,255,558.300,350.500
42,10,255,255,255,228.300,354.500
43,10,255,255,255,537.300,354.500
44,10,255,255,255,268.300,360.500
45,10,255,255,255,480.300,361.500
46,10,255,255,255,342.300,373.500
47,10,255,255,255,461.300,380.500
48,10,255,255,255,360.300,386.500
49,10,255,255,255,378.300,388.500
50,10,255,255,255,520.300,388.500
51,10,255,255,255,338.300,393.500
52,10,255,255,255,682.300,393.500
53,10,255,255,255,280.300,397.500
54,10,255,255,255,424.300,397.500
55,10,255,255,255,584.300,400.500
56,10,255,255,255,60.300,404.500
57,10,255,255,255,652.300,405.500
58,10,255,255,255,374.300,406.500
59,10,255,255,255,726.300,406.500
60,10,255,255,255,357.300,410.500
61,10,255,255,255,670.300,410.500
62,10,255,255,255,521.300,420.500
63,10,255,255,255,566.300,422.500
64,10,255,255,255,168.300,424.500
65,10,255,255,255,234.300,424.500
66,10,255,255,255,746.300,426.500
67,10,255,255,255,638.300,429.500
68,10,255,255,255,596.300,432.500
69,10,255,255,255,472.300,433.500
70,10,255,255,255,340.300,434.500
71,10,255,255,255,764.300,436.500
72,10,255,255,255,429.300,444.500
73,10,255,255,255,226.300,456.500
74,10,255,255,255,281.300,469.500
75,10,255,255,255,458.300,472.500
76,10,255,255,255,716.300,473.500
77,10,255,255,255,574.300,485.500
78,10,255,255,255,134.300,489.500
79,10,255,255,255,458.300,489.500
80,10,255,255,255,438.300,505.500
81,10,255,255,255,490.300,506.500
82,10,255,255,255,554.300,517.500
83,10,255,255,255,353.300,522.500
84,10,255,255,255,594.300,528.500
85,10,255,255,255,542.300,529.500
86,10,255,255,255,418.300,538.500
87,10,255,255,255,317.300,541.500
88,10,255,255,255,553.300,541.500
89,10,255,255,255,724.300,552.500
90,10,255,255,255,237.300,564.500
91,10,255,255,255,701.300,574.500
92,10,255,255,255,546.300,580.500
