 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,777.300,24.500
2,10,255,255,255,196.300,28.500
3,10,255,255,255,213.300,33.500
4,10,255,255,255,481.300,42.500
5,12,255,255,255,25.667,48.417
6,13,255,255,255,205.115,49.115
7,12,255,255,255,398.667,52.583
8,10,255,255,255,637.300,52.500
9,11,255,255,255,426.409,54.318
10,10,255,255,255,736.300,53.500
11,10,255,255,255,301.300,54.500
12,10,255,255,255,781.300,54.500
13,10,255,255,255,146.300,64.500
14,10,255,255,255,176.300,64.500
15,10,255,255,255,496.300,66.500
16,10,255,255,255,760.300,70.500
17,10,255,255,255,470.300,88.500
18,10,255,255,255,68.300,97.500
19,10,255,255,255,426.300,98.500
20,10,255,255,255,294.300,105.500
21,13,255,255,255,454.346,106.038
22,10,255,255,255,134.300,108.500
23,10,255,255,255,233.300,108.500
24,10,255,255,255,436.300,117.500
25,10,255,255,255,369.300,120.500
26,10,255,255,255,265.300,121.500
27,10,255,255,255,381.300,130.500
28,10,255,255,255,253.300,136.500
29,10,255,255,255,422.300,138.500
30,10,255,255,255,705.300,145.500
31,10,255,255,255,377.300,146.500
32,10,255,255,255,76.300,150.500
33,10,255,255,255,321.300,164.500
34,10,255,255,255,290.300,169.500
35,10,255,255,255,472.300,176.500
36,10,255,255,255,572.300,176.500
37,10,255,255,255,488.300,188.500
38,10,255,255,255,689.300,188.500
39,10,255,255,255,244.300,189.500
40,10,255,255,255,504.300,194.500
41,10,255,255,255,305.300,198.500
42,10,255,255,255,56.300,200.500
43,10,255,255,255,726.300,200.500
44,14,255,255,255,350.000,205.500
45,10,255,255,255,546.300,206.500
46,10,255,255,255,241.300,208.500
47,11,255,255,255,637.500,208.591
48,10,255,255,255,205.300,213.500
49,10,255,255,255,280.300,213.500
50,10,255,255,255,142.300,221.500
51,10,255,255,255,526.300,221.500
52,10,255,255,255,516.300,232.500
53,10,255,255,255,641.300,266.500
54,10,255,255,255,684.300,270.500
55,10,255,255,255,658.300,278.500
56,10,255,255,255,64.300,289.500
57,10,255,255,255,534.300,292.500
58,10,255,255,255,668.300,309.500
59,10,255,255,255,92.300,310.500
60,10,255,255,255,396.300,321.500
61,10,255,255,255,354.300,344.500
62,10,255,255,255,596.300,346.500
63,10,255,255,255,414.300,348.500
64,10,255,255,255,736.300,350.500
65,10,255,255,255,392.300,357.500
66,10,255,255,255,760.300,364.500
67,10,255,255,255,181.300,372.500
68,10,255,255,255,54.300,373.500
69,10,255,255,255,33.300,374.500
70,10,255,255,255,130.300,374.500
71,10,255,255,255,597.300,378.500
72,10,255,255,255,776.300,386.500
73,10,255,255,255,116.300,390.500
74,10,255,255,255,370.300,398.500
75,10,255,255,255,548.300,405.500
76,10,255,255,255,426.300,412.500
77,10,255,255,255,638.300,428.500
78,10,255,255,255,124.300,433.500
79,10,255,255,255,226.300,436.500
80,10,255,255,255,193.300,438.500
81,10,255,255,255,205.300,450.500
82,10,255,255,255,260.300,457.500
83,10,255,255,255,88.300,462.500
84,10,255,255,255,186.300,464.500
85,10,255,255,255,289.300,464.500
86,10,255,255,255,117.300,488.500
87,10,255,255,255,158.300,488.500
88,10,255,255,255,730.300,488.500
89,10,255,255,255,176.300,504.500
90,10,255,255,255,668.300,506.500
91,10,255,255,255,362.300,513.500
92,10,255,255,255,661.300,525.500
93,10,255,255,255,557.300,532.500
94,10,255,255,255,601.300,541.500
95,10,255,255,255,562.300,549.500
96,10,255,255,255,218.300,568.500
97,10,255,255,255,506.300,573.500
98,10,255,255,255,396.300,574.500
99,10,255,255,255,337.300,580.500
100,10,255,255,255,526.300,588.500
