 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,508.300,20.500
2,10,255,255,255,466.300,22.500
3,10,255,255,255,416.300,29.500
4,10,255,255,255,480.300,30.500
5,10,255,255,255,77.300,36.500
6,10,255,255,255,458.300,36.500
7,10,255,255,255,156.300,38.500
8,10,255,255,255,549.300,38.500
9,10,255,255,255,404.300,40.500
10,10,255,255,255,272.300,41.500
11,10,255,255,255,354.300,46.500
12,10,255,255,255,486.300,52.500
13,10,255,255,255,145.300,56.500
14,10,255,255,255,541.300,57.500
15,10,255,255,255,550.300,60.500
16,10,255,255,255,244.300,62.500
17,10,255,255,255,513.300,64.500
18,10,255,255,255,166.300,65.500
19,10,255,255,255,573.300,66.500
20,10,255,255,255,665.300,66.500
21,10,255,255,255,29.300,68.500
22,10,255,255,255,684.300,68.500
23,10,255,255,255,341.300,69.500
24,10,255,255,255,433.300,69.500
25,10,255,255,255,646.300,74.500
26,10,255,255,255,718.300,74.500
27,10,255,255,255,424.300,80.500
28,10,255,255,255,178.300,81.500
29,10,255,255,255,534.300,81.500
30,10,255,255,255,750.300,81.500
31,10,255,255,255,724.300,84.500
32,10,255,255,255,457.300,85.500
33,10,255,255,255,574.300,85.500
34,10,255,255,255,318.300,86.500
35,10,255,255,255,654.300,86.500
36,10,255,255,255,393.300,94.500
37,10,255,255,255,285.300,96.500
38,10,255,255,255,438.300,100.500
39,10,255,255,255,661.300,104.500
40,10,255,255,255,157.300,105.500
41,10,255,255,255,592.300,106.500
42,10,255,255,255,428.300,108.500
43,10,255,255,255,682.300,108.500
44,10,255,255,255,181.300,109.500
45,10,255,255,255,344.300,110.500
46,10,255,255,255,516.300,114.500
47,10,255,255,255,410.300,118.500
48,10,255,255,255,125.300,122.500
49,10,255,255,255,468.300,122.500
50,10,255,255,255,534.300,125.500
51,10,255,255,255,108.300,126.500
52,10,255,255,255,284.300,128.500
53,10,255,255,255,214.300,129.500
54,10,255,255,255,196.300,130.500
55,10,255,255,255,230.300,130.500
56,10,255,255,255,496.300,130.500
57,10,255,255,255,685.300,130.500
58,10,255,255,255,582.300,132.500
59,10,255,255,255,516.300,134.500
60,10,255,255,255,709.300,138.500
61,10,255,255,255,458.300,140.500
62,10,255,255,255,617.300,140.500
63,10,255,255,255,357.300,141.500
64,10,255,255,255,160.300,142.500
65,10,255,255,255,445.300,145.500
66,10,255,255,255,605.300,149.500
67,10,255,255,255,277.300,150.500
68,10,255,255,255,622.300,150.500
69,10,255,255,255,737.300,160.500
70,10,255,255,255,577.300,161.500
71,10,255,255,255,306.300,165.500
72,10,255,255,255,156.300,169.500
73,10,255,255,255,101.300,170.500
74,10,255,255,255,78.300,172.500
75,10,255,255,255,396.300,172.500
76,10,255,255,255,658.300,172.500
77,10,255,255,255,590.300,174.500
78,10,255,255,255,576.300,177.500
79,10,255,255,255,204.300,198.500
80,10,255,255,255,298.300,205.500
81,10,255,255,255,418.300,209.500
82,12,255,255,255,581.917,209.417
83,10,255,255,255,781.300,214.500
84,11,255,255,255,313.136,216.409
85,14,255,255,255,565.857,218.643
86,10,255,255,255,360.300,229.500
87,10,255,255,255,338.300,230.500
88,10,255,255,255,373.300,232.500
89,10,255,255,255,525.300,232.500
90,12,255,255,255,733.667,233.417
91,10,255,255,255,480.300,236.500
92,10,255,255,255,64.300,238.500
93,10,255,255,255,393.300,240.500
94,10,255,255,255,349.300,241.500
95,10,255,255,255,328.300,242.500
96,10,255,255,255,628.300,250.500
97,10,255,255,255,653.300,268.500
98,10,255,255,255,61.300,274.500
99,10,255,255,255,678.300,274.500
100,10,255,255,255,25.300,280.500
101,10,255,255,255,226.300,282.500
102,10,255,255,255,478.300,288.500
103,11,255,255,255,302.409,290.682
104,15,255,255,255,646.100,306.100
105,10,255,255,255,36.300,306.500
106,10,255,255,255,352.300,334.500
107,10,255,255,255,158.300,362.500
108,10,255,255,255,585.300,380.500
109,10,255,255,255,218.300,386.500
110,10,255,255,255,453.300,390.500
111,13,255,255,255,85.115,409.115
112,10,255,255,255,213.300,414.500
113,10,255,255,255,565.300,422.500
114,10,255,255,255,225.300,424.500
115,10,255,255,255,86.300,426.500
116,10,255,255,255,550.300,426.500
117,10,255,255,255,582.300,428.500
118,10,255,255,255,214.300,433.500
119,10,255,255,255,133.300,458.500
120,10,255,255,255,154.300,465.500
121,10,255,255,255,641.300,466.500
122,10,255,255,255,436.300,468.500
123,10,255,255,255,622.300,469.500
124,10,255,255,255,212.300,490.500
125,10,255,255,255,332.300,512.500
126,10,255,255,255,332.300,526.500
127,11,255,255,255,389.318,542.682
128,10,255,255,255,388.300,558.500
