 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,242.300,129.500
2,10,255,255,255,220.300,232.500
3,10,255,255,255,300.300,233.500
4,10,255,255,255,314.300,244.500
5,10,255,255,255,293.300,248.500
6,10,255,255,255,345.300,257.500
7,10,255,255,255,240.300,261.500
8,10,255,255,255,177.300,272.500
9,10,255,255,255,285.300,272.500
10,10,255,255,255,250.300,277.500
11,10,255,255,255,265.300,292.500
12,10,255,255,255,332.300,305.500
13,11,255,255,255,310.500,320.500
14,10,255,255,255,337.300,324.500
15,10,255,255,255,205.300,332.500
16,10,255,255,255,268.300,332.500
17,10,255,255,255,348.300,342.500
18,10,255,255,255,690.300,404.500
19,10,255,255,255,413.300,502.500
