 ,Area,Mean,Min,Max,X,Y
1,15,255,255,255,276.100,1.900
2,15,255,255,255,741.300,22.767
3,14,255,255,255,275.500,24.500
4,20,255,255,255,778.200,26.450
5,10,255,255,255,254.300,27.500
6,12,255,255,255,260.167,40.417
7,13,255,255,255,140.192,41.500
8,14,255,255,255,496.143,43.786
9,11,255,255,255,234.136,44.591
10,11,255,255,255,379.500,44.500
11,12,255,255,255,248.000,47.500
12,16,255,255,255,157.250,51.875
13,12,255,255,255,518.000,51.500
14,19,255,255,255,608.605,74.079
15,14,255,255,255,337.571,81.714
16,11,255,255,255,106.136,82.591
17,19,255,255,255,761.447,94.289
18,14,255,255,255,54.214,103.643
19,15,255,255,255,675.433,104.367
20,14,255,255,255,65.571,121.714
21,19,255,255,255,681.342,131.658
22,22,255,255,255,707.364,132.636
23,12,255,255,255,88.000,138.500
24,16,255,255,255,74.062,153.250
25,21,255,255,255,137.405,153.357
26,11,255,255,255,278.136,155.409
27,19,255,255,255,793.132,159.237
28,22,255,255,255,409.000,169.409
29,20,255,255,255,504.000,173.500
30,16,255,255,255,139.438,176.750
31,20,255,255,255,523.250,178.550
32,17,255,255,255,434.382,184.206
33,22,255,255,255,128.273,192.773
34,15,255,255,255,450.100,198.100
35,19,255,255,255,464.237,206.553
36,16,255,255,255,405.438,212.750
37,21,255,255,255,180.262,216.024
38,15,255,255,255,562.033,221.633
39,12,255,255,255,128.167,226.417
40,17,255,255,255,458.088,227.618
41,25,255,255,255,499.100,233.460
42,21,255,255,255,440.024,236.357
43,10,255,255,255,117.300,238.500
44,11,255,255,255,127.136,248.591
45,21,255,255,255,712.929,281.310
46,16,255,255,255,738.250,287.125
47,23,255,255,255,497.761,294.326
48,17,255,255,255,74.265,299.676
49,12,255,255,255,172.333,303.417
50,14,255,255,255,90.000,314.214
51,10,255,255,255,441.300,319.500
52,19,255,255,255,637.974,321.658
53,13,255,255,255,206.038,322.346
54,19,255,255,255,480.658,336.658
55,19,255,255,255,471.500,347.711
56,16,255,255,255,239.125,358.250
57,17,255,255,255,305.382,360.206
58,16,255,255,255,290.250,367.125
59,23,255,255,255,489.674,370.500
60,18,255,255,255,402.278,372.000
61,15,255,255,255,131.700,384.433
62,22,255,255,255,494.136,388.273
63,19,255,255,255,657.763,392.237
64,17,255,255,255,127.382,398.206
65,19,255,255,255,140.132,401.447
66,18,255,255,255,674.389,409.667
67,19,255,255,255,151.132,419.658
68,26,255,255,255,676.115,430.423
69,14,255,255,255,403.500,439.500
70,10,255,255,255,245.300,446.500
71,13,255,255,255,387.500,447.346
72,14,255,255,255,415.857,454.357
73,10,255,255,255,363.300,461.500
74,25,255,255,255,740.180,464.620
75,23,255,255,255,765.804,464.326
76,22,255,255,255,466.273,471.682
77,19,255,255,255,431.447,472.132
78,15,255,255,255,235.633,489.567
79,23,255,255,255,274.065,492.152
80,27,255,255,255,183.167,492.352
81,24,255,255,255,373.250,496.000
82,18,255,255,255,402.167,515.833
83,18,255,255,255,226.444,520.722
84,11,255,255,255,461.500,529.500
85,22,255,255,255,738.000,536.000
86,10,255,255,255,789.300,544.500
87,18,255,255,255,636.000,546.278
88,12,255,255,255,461.667,546.583
89,15,255,255,255,448.167,551.700
90,20,255,255,255,648.200,557.600
91,13,255,255,255,381.115,564.269
92,18,255,255,255,413.944,568.222
93,17,255,255,255,461.382,594.618
94,15,255,255,255,476.100,595.900
