 ,Area,Mean,Min,Max,X,Y
1,11,255,255,255,171.409,1.136
2,23,255,255,255,731.109,37.457
3,35,255,255,255,278.271,44.214
4,31,255,255,255,176.274,55.952
5,25,255,255,255,297.260,61.620
6,24,255,255,255,199.792,75.500
7,26,255,255,255,373.577,82.500
8,30,255,255,255,123.033,84.100
9,27,255,255,255,214.241,101.611
10,35,255,255,255,699.529,118.557
11,24,255,255,255,758.000,122.583
12,17,255,255,255,530.382,126.206
13,28,255,255,255,549.964,136.214
14,22,255,255,255,534.273,139.682
15,30,255,255,255,201.400,145.700
16,22,255,255,255,549.364,148.545
17,23,255,255,255,53.804,158.500
18,31,255,255,255,281.952,163.919
19,28,255,255,255,227.214,165.536
20,24,255,255,255,251.375,165.292
21,34,255,255,255,368.676,185.647
22,23,255,255,255,38.196,186.065
23,35,255,255,255,480.729,191.186
24,26,255,255,255,380.115,199.692
25,31,255,255,255,330.113,207.694
26,30,255,255,255,344.000,208.100
27,24,255,255,255,525.250,209.750
28,32,255,255,255,53.875,216.094
29,32,255,255,255,386.500,215.969
30,26,255,255,255,371.769,217.923
31,23,255,255,255,348.239,219.326
32,21,255,255,255,761.881,220.500
33,34,255,255,255,299.529,224.441
34,25,255,255,255,49.500,225.820
35,29,255,255,255,331.948,225.810
36,27,255,255,255,397.981,229.611
37,29,255,255,255,201.500,230.810
38,21,255,255,255,388.405,231.548
39,29,255,255,255,279.466,244.397
40,28,255,255,255,497.714,246.071
41,28,255,255,255,385.857,249.964
42,24,255,255,255,366.125,254.500
43,5,255,255,255,341.500,256.900
44,16,255,255,255,279.312,264.312
45,24,255,255,255,340.208,266.208
46,34,255,255,255,374.029,268.324
47,30,255,255,255,212.367,271.733
48,30,255,255,255,346.167,280.067
49,30,255,255,255,275.267,295.800
50,27,255,255,255,339.796,297.907
51,27,255,255,255,110.463,299.500
52,22,255,255,255,163.909,301.818
53,26,255,255,255,314.038,302.346
54,37,255,255,255,670.878,305.068
55,6,255,255,255,319.167,306.500
56,25,255,255,255,458.660,308.100
57,34,255,255,255,320.382,314.059
58,32,255,255,255,160.531,315.562
59,32,255,255,255,334.750,326.312
60,30,255,255,255,455.600,325.467
61,20,255,255,255,95.150,338.450
62,35,255,255,255,484.300,351.814
63,24,255,255,255,369.250,368.000
64,23,255,255,255,534.935,375.717
65,29,255,255,255,671.362,376.155
66,32,255,255,255,486.250,384.062
67,25,255,255,255,320.060,384.860
68,24,255,255,255,216.208,386.500
69,26,255,255,255,200.038,396.346
70,19,255,255,255,431.237,402.816
71,25,255,255,255,216.100,410.540
72,19,255,255,255,283.868,413.711
73,18,255,255,255,542.111,420.056
74,25,255,255,255,66.180,421.980
75,24,255,255,255,197.667,424.083
76,25,255,255,255,448.260,429.700
77,32,255,255,255,662.219,430.219
78,27,255,255,255,80.130,434.574
79,24,255,255,255,338.125,433.583
80,22,255,255,255,629.227,437.636
81,38,255,255,255,104.263,447.316
82,31,255,255,255,189.565,447.435
83,30,255,255,255,650.133,454.867
84,29,255,255,255,461.052,455.948
85,28,255,255,255,306.429,457.679
86,30,255,255,255,312.500,464.733
87,20,255,255,255,57.250,478.550
88,32,255,255,255,123.094,483.906
89,26,255,255,255,355.808,486.269
90,31,255,255,255,471.532,486.210
91,23,255,255,255,43.935,493.283
92,31,255,255,255,373.403,511.081
93,20,255,255,255,27.100,511.700
94,28,255,255,255,106.464,522.036
95,20,255,255,255,17.950,524.850
96,18,255,255,255,479.000,525.722
97,27,255,255,255,310.315,528.944
98,26,255,255,255,354.269,557.385
99,26,255,255,255,385.615,557.808
100,13,255,255,255,224.192,557.423
101,23,255,255,255,105.674,563.674
102,27,255,255,255,233.130,584.907
