 ,Area,Mean,Min,Max,X,Y
1,24,255,255,255,334.167,185.542
2,25,255,255,255,324.060,197.580
3,24,255,255,255,334.208,202.542
4,24,255,255,255,323.500,215.417
5,25,255,255,255,471.900,255.460
6,18,255,255,255,481.722,268.111
7,23,255,255,255,452.196,273.761
8,21,255,255,255,469.643,295.976
9,12,255,255,255,454.000,306.500
10,22,255,255,255,489.455,307.727
11,15,255,255,255,489.367,322.167
12,10,255,255,255,469.300,324.500
13,11,255,255,255,452.136,326.591
14,18,255,255,255,485.556,340.722
15,13,255,255,255,498.038,340.346
