 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,685.300,117.500
2,10,255,255,255,187.300,120.500
3,10,255,255,255,547.300,140.500
4,10,255,255,255,405.300,206.500
5,10,255,255,255,615.300,217.500
6,9,255,255,255,641.500,219.500
7,10,255,255,255,399.300,226.500
8,9,255,255,255,672.500,231.500
9,10,255,255,255,525.300,252.500
10,10,255,255,255,162.300,262.500
11,10,255,255,255,444.300,264.500
12,10,255,255,255,215.300,268.500
13,11,255,255,255,285.500,277.500
14,9,255,255,255,591.167,278.611
15,10,255,255,255,205.300,279.500
16,10,255,255,255,685.300,288.500
17,10,255,255,255,595.300,293.500
18,10,255,255,255,106.300,297.500
19,10,255,255,255,58.300,300.500
20,10,255,255,255,477.300,302.500
21,10,255,255,255,94.300,311.500
22,10,255,255,255,607.300,328.500
23,10,255,255,255,61.300,329.500
24,10,255,255,255,389.300,331.500
25,10,255,255,255,219.300,333.500
26,10,255,255,255,439.300,334.500
27,10,255,255,255,362.300,346.500
28,10,255,255,255,473.300,361.500
29,10,255,255,255,347.300,377.500
30,10,255,255,255,636.300,386.500
31,10,255,255,255,289.300,390.500
32,9,255,255,255,271.167,392.389
33,9,255,255,255,561.500,394.500
34,10,255,255,255,396.300,398.500
35,11,255,255,255,587.136,400.591
36,10,255,255,255,44.300,406.500
37,10,255,255,255,644.300,408.500
38,10,255,255,255,62.300,415.500
39,10,255,255,255,534.300,420.500
40,10,255,255,255,317.300,424.500
41,10,255,255,255,279.300,433.500
42,14,255,255,255,213.000,440.000
43,10,255,255,255,164.300,444.500
44,10,255,255,255,397.300,445.500
45,10,255,255,255,204.300,450.500
46,15,255,255,255,277.100,456.100
47,10,255,255,255,535.300,457.500
48,11,255,255,255,599.227,459.682
49,10,255,255,255,335.300,461.500
50,10,255,255,255,777.300,468.500
51,10,255,255,255,551.300,473.500
52,10,255,255,255,509.300,483.500
53,10,255,255,255,435.300,488.500
54,10,255,255,255,602.300,491.500
