 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,15.300,231.500
2,10,255,255,255,427.300,236.500
3,10,255,255,255,29.300,247.500
4,10,255,255,255,338.300,267.500
5,10,255,255,255,29.300,276.500
6,11,255,255,255,200.136,438.591
7,10,255,255,255,218.300,446.500
8,10,255,255,255,350.300,448.500
9,10,255,255,255,147.300,454.500
10,10,255,255,255,19.300,462.500
11,10,255,255,255,214.300,466.500
12,10,255,255,255,189.300,476.500
13,10,255,255,255,33.300,480.500
14,10,255,255,255,188.300,488.500
15,10,255,255,255,244.300,490.500
16,10,255,255,255,202.300,497.500
17,9,255,255,255,255.167,503.611
18,10,255,255,255,653.300,505.500
19,10,255,255,255,163.300,506.500
20,10,255,255,255,667.300,524.500
21,10,255,255,255,130.300,531.500
22,10,255,255,255,143.300,538.500
23,9,255,255,255,160.167,544.611
24,10,255,255,255,246.300,548.500
25,10,255,255,255,203.300,552.500
